"BROMLEY (HENVILLE ROAD)",,,,,,,,,,,,
Grid ref,TQ409696,Long,0.024452,Lat,51.407928,,,,,,,
Station no,406/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.50,1.65,1.00,1.33,2.84,3.44,1.31,1.93,2.30,1.71,,
February,5.96,0.95,1.46,1.99,1.43,0.35,2.71,2.33,0.11,1.56,,
March,2.36,2.17,0.43,1.58,1.03,1.04,0.82,1.73,1.73,1.75,,
April,2.30,0.96,1.86,0.23,0.26,1.20,0.22,1.45,1.85,0.49,,
May,2.06,2.05,1.73,1.88,3.99,0.43,1.07,1.87,0.96,1.81,,
June,1.06,1.49,1.39,4.08,2.06,2.84,0.70,4.74,0.92,1.40,,
July,2.18,0.68,3.56,2.93,0.09,3.37,3.33,1.94,1.01,3.19,,
August,2.89,3.21,1.38,3.17,1.19,2.78,4.25,3.53,0.98,4.53,,
September,2.14,3.16,2.36,1.83,2.09,1.91,2.67,5.24,0.06,-999.00,,
October,0.88,2.35,4.41,1.66,2.97,1.75,1.65,3.07,1.99,4.74,,
November,4.77,3.35,1.13,4.45,0.47,0.65,3.15,1.75,2.37,4.01,,
December,2.02,2.06,0.85,1.46,1.77,2.76,1.91,2.71,3.30,2.45,,
Total,31.12,24.08,21.56,26.59,20.19,22.52,23.79,32.29,17.58,32.15,,
Calc annual,31.12,24.08,21.56,26.59,20.19,22.52,23.79,32.29,17.58,27.64,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.51,,
