CROYDON-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST020386,Long,-3.40198,Lat,51.13827,Elevation,560,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,3.15,4.6,4.94,7.49,5.62,6.46,1.33,6.74,2.52,5.67,2.93,4.85,1.19,5.18,7.52,5.36,6.97,2.37,5.24,3.69,7.16,2.29,,,,,,
February,,,,10.27,0.8,5.91,3.05,4.2,5.52,1.12,1.17,5.38,0,4.23,0.28,4.51,3.32,6.19,1.24,2.28,3.34,3.87,0.22,2.63,0.66,,,,,,
March,,,,1.33,1.81,0.77,1.17,4.85,5.76,0.35,3.11,1.16,2.95,4.21,3.33,1.39,3.13,6.08,0.02,1.76,2.98,4.2,2.18,1.39,0.24,,,,,,
April,,,,2.9,4.21,3.27,2.69,2.04,1.91,1.02,4.09,2.22,4.31,1.53,3.81,6.1,2.04,3.29,0.15,4.01,3.24,1.75,1.89,0.71,1.57,,,,,,
May,,,,3.24,4.14,5.87,1.54,0.65,1.19,3.25,1.72,5.56,3.07,2.75,1.74,1.42,0.8,2.46,3.22,0.96,1.53,1.82,5.86,3.34,0.73,,,,,,
June,,,,0.87,4.39,0.01,3.51,2.52,2.72,2.93,0.46,4.06,0.39,1.72,2.12,2.85,1.6,0.7,1.87,2.86,0.65,2.03,0.79,1.88,3.1,,,,,,
July,,,,2.53,4.7,1.86,1.31,4.1,2.11,1.51,2.52,2.79,3.46,2.29,0.3,0.51,5.62,1.44,2.6,4.42,3.82,2.02,1.72,2.33,1.43,,,,,,
August,,,,3.18,6.36,4.36,1.79,4.24,1.58,2.48,3.42,5.2,1.41,1.32,4.77,3.84,0.24,0.84,5.8,2.6,0.21,4.62,4.23,3.02,4.16,,,,,,
September,,,,3.68,5.88,4.04,2.72,6.85,2.27,0.64,5.68,3.2,4.28,2.05,2.16,5.68,3.32,3.34,1.16,0.96,1.4,0.58,2.82,4.78,3.76,,,,,,
October,,,,6.25,6.77,4.5,5.42,2.98,5.67,7.31,4.47,1.34,9.31,5.73,3.48,4.85,2.37,5.13,5.76,3.38,6.54,2.45,3.62,3.21,4.91,,,,,,
November,,,,4.3,5.09,3.3,9.38,4.93,5.49,12.06,6.35,2.66,2.45,0.87,2.8,6.8,4.34,2.33,6.65,8.06,9.33,3.23,1.36,3.31,7.38,,,,,,
December,,,,3.16,7.04,6.53,0.31,4.67,4.87,11.59,6.45,3.84,2.9,1.46,9.57,5.87,4.86,3.53,6.16,2.7,2.2,3.16,4.51,3.03,4.99,,,,,,
Total,,,,44.86,55.79,45.36,40.38,47.65,45.55,45.59,46.18,39.93,40.2,31.09,39.21,45.01,36.82,42.85,39.99,40.96,37.61,34.97,32.89,36.79,35.22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Gauge moved 100yds N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Gauge moved 200yds SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 End of Sept Gauge moved 160yds N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Observations ceased Observer sold Croydon Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
