"HAYFIELD (MIDDLE MOOR)",,,,,,,,,,,,
Grid ref,SK049887,Long,-1.927778,Lat,53.395110,,,,,,,
Station no,2643/9/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.29,4.60,2.50,4.96,4.60,7.15,2.75,4.80,4.30,8.95,,
February,4.00,3.50,3.40,4.00,2.90,2.40,3.95,8.60,0.65,3.75,,
March,5.50,3.00,3.45,2.90,3.75,1.80,3.40,2.50,1.85,1.50,,
April,2.62,4.10,3.00,0.65,2.20,2.00,0.50,1.10,3.10,2.40,,
May,2.30,3.20,2.35,3.75,5.20,1.80,1.55,4.25,0.65,2.25,,
June,1.67,3.75,3.40,3.75,3.35,3.20,1.95,6.10,2.19,1.40,,
July,4.10,3.40,5.90,9.10,0.82,6.30,6.35,5.85,4.35,7.80,,
August,6.05,2.75,4.60,7.65,0.75,10.65,6.80,3.85,0.50,6.60,,
September,2.30,5.15,2.65,4.95,2.80,4.85,8.75,5.10,0.11,4.30,,
October,1.15,5.20,2.40,7.40,2.80,2.95,4.65,4.60,3.20,5.45,,
November,9.55,3.70,3.40,7.15,2.30,1.85,3.00,2.40,6.10,6.20,,
December,6.62,4.50,2.20,7.60,6.40,7.15,5.50,4.15,6.55,5.00,,
Total,51.15,46.25,39.25,63.86,37.87,52.10,49.15,53.30,33.55,55.60,,
Calc annual,51.15,46.85,39.25,63.86,37.87,52.10,49.15,53.30,33.55,55.60,,
Difference,0.00,-0.60,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
