HAYFIELD-PARK-HALL-MOOR-NEW-POSITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK049887,Long,-1.9277784,Lat,53.39511,Elevation,1170,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/9/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.52,6.12,5.4,4.73,8.82,,3.2,,5.79,7.44,6.5,5.73,3.17,10.41,3.3,3.15,,4.6,2.5,4.96,4.6,7.15,,4.8,4.3,8.95
February,,,,,6.13,4.2,6.19,1.65,3.7,,,,3.57,3.27,6,7.22,2.2,3.9,2.48,6.28,4,3.5,3.4,4,2.9,,,8.6,0.65,3.75
March,,,,,2.09,3.59,5.21,2.17,2.68,3.4,5.21,2.7,1.5,1.32,1.79,2,5.8,1.11,2.66,2.04,,3,3.45,2.9,3.75,1.8,,,1.85,1.5
April,,,,,3.24,1.7,4.54,0.6,3.6,3.42,2.06,1.77,2.32,3.06,2.48,1.86,3.63,1.74,4.06,3.94,2.62,4.1,3,0.65,,2,0.5,,3.1,
May,,,,,0.55,1.2,2.7,3.74,2.38,1.5,,4.28,3.12,7.58,3.5,1.76,4.57,1.32,2.66,1.24,2.3,3.2,2.35,3.75,5.2,1.8,1.55,4.25,0.65,2.25
June,,,,,3.95,3.9,2.1,4.36,2.6,1,2.65,1.38,4.05,3.49,3.86,3.88,2.28,6.4,1.56,2.8,1.67,3.15,3.4,3.75,,3.2,1.95,6.1,2.19,
July,,,,,2.08,5.82,4.52,6.03,7,4.57,3.57,5.5,2.5,4.15,1.86,5.65,3.5,2.68,1.8,3.15,4.1,3.4,5.9,9.1,0.82,6.3,6.35,5.85,4.35,7.8
August,,,,,1.52,2.56,1.08,3.26,2.06,2.11,6.84,4.1,6.26,3.55,3.1,5.5,0.34,,3.9,4.26,6.05,2.75,4.6,7.65,0.75,10.65,6.8,3.85,0.5,6.6
September,,,,,6.31,6.93,1.36,3.55,1.41,4.23,0.77,3.02,5.43,,2.36,5.72,2,2.2,1.55,6.57,2.3,5.15,2.65,4.95,2.8,4.85,8.75,5.1,0.11,4.3
October,,,,,8.52,5.27,2.46,7.22,3.8,4.15,5.66,8.05,3,4.7,6.32,1.1,1,2.95,4.1,2.5,1.15,5.2,2.4,7.4,2.8,2.95,4.65,,3.2,5.45
November,,,,,5.69,5.75,1.88,5.11,7.05,7.81,,1.48,4,7.12,0.69,6.45,5.94,3.16,5.8,6.74,9.55,3.7,3.4,7.15,2.3,1.85,3,2.4,6.1,6.2
December,,,,,6.92,5.48,6.19,5.9,2.93,4.9,3.23,4.32,2.15,3.87,3.15,5.17,5,3.55,6.8,4.66,6.62,4.5,2.2,7.6,6.4,,5.5,4.15,6.55,5
Total,,,,,50.52,52.52,43.63,48.32,48.03,,,,43.69,,41.61,52.04,39.43,,40.67,47.33,,46.25,39.25,63.86,,,,,33.55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11883 MIDDLE MOOR Start 1935 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Middle Moor. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 and Feb and Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
