"HAYFIELD PARK HALL MOOR",,,,,,,,,,,,
Grid ref,SK045890,Long,-1.933789,Lat,53.397810,,,,,,,
Station no,2643/9/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.34,2.10,2.62,2.72,4.24,1.37,2.74,1.71,,
February,,,1.20,2.60,3.13,1.98,2.53,1.74,3.68,2.80,,
March,,,2.53,4.00,1.89,3.44,2.77,3.14,3.08,2.73,,
April,,,1.84,2.49,2.27,2.80,2.05,2.34,2.93,2.51,,
May,,,3.83,1.98,2.79,0.96,4.86,4.40,3.21,2.31,,
June,,,1.92,1.26,1.06,2.28,1.78,6.04,1.84,3.53,,
July,,,2.55,3.34,1.79,2.89,2.78,3.14,3.92,6.04,,
August,,,3.41,4.22,4.59,3.58,3.74,4.88,2.99,3.18,,
September,,,1.32,4.29,1.35,2.98,1.67,0.63,3.60,3.15,,
October,,,4.90,7.51,1.56,4.08,5.67,5.60,1.07,5.34,,
November,,,1.65,4.28,2.92,4.12,4.31,3.05,3.16,1.80,,
December,,,2.68,1.36,2.45,0.65,3.49,2.49,3.04,6.48,,
Total,,,31.17,39.43,28.42,32.48,39.89,38.82,35.26,41.58,,
Calc annual,0.00,0.00,31.17,39.43,28.42,32.48,39.89,38.82,35.26,41.58,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
