GOYLAS-RES,,,,,,,,,,
Grid ref,SN563146,Long,-4.0859169,Lat,51.81151,Elevation,750,ft.,,
Station no,4110/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.97,,6.95
February,,,,,,,,5.37,,6.13
March,,,,,,,,1.55,,1.97
April,,,,,,,,0.82,,4.24
May,,,,,,,,4.6,,2.35
June,,,,,,,,6.01,3.47,2.47
July,,,,,,,,7.4,6.71,7.16
August,,,,,,,,4.9,2.02,8.69
September,,,,,,,,12.85,0.48,7.61
October,,,,,,,,7.51,7.54,7.61
November,,,,,,,,6.49,11.38,12.51
December,,,,,,,,5.55,12,5.51
Total,,,,,,,,68.02,,73.2
,,,,,,,,,,
MIDAS src_id 11100 GORSLAS RESR Start 1951 end 2004,,,,,,,,,,
"NGR is from 1950s record, which is close to Gorslas (is Goylas on records Gorslas?) and is a small covered reservoirr. Altitudes match.",,,,,,,,,,
1951 record has been crossed through and annotated omit. The altitudes is 110ft. Higher. Readings removed from this record even though MIDAS shows the record as staring in 1951.,,,,,,,,,,
