SOUTHGATE-RESERVOIR-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ292955,Long,-0.13417855,Lat,51.643466,Elevation,255,ft.,,,,,,,,,,,,
Station no,RR7738,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.83,1.35,4.25,0.94,1.79,0.84,1.96,1.43,3.87,2.66,0.67,3.76,1.84,,,
February,,,,,3.05,0.99,2.27,1.21,1.57,0.57,2.57,1.75,2.1,0.83,2.68,3.49,3.68,,,
March,,,,,1.67,3.39,1.38,0.99,2.72,3.22,0.99,1.85,3.32,2.05,4.65,1.2,4.57,,,
April,,,,,0.96,1.94,0.51,2.8,2.91,1.59,2.49,1.57,0.06,3.29,0.8,0.99,1.32,,,
May,,,,,2.11,1.57,1.55,2.08,1.57,1.41,2.21,1.25,1.18,1.83,1.67,3.08,2.14,,,
June,,,,6.05,0.86,3.1,3.2,2.45,1.05,3.02,3.48,2.36,2.67,0.69,1.45,1.8,2.71,,,
July,,,,4.85,2.18,1.5,0.59,2.43,3.98,3.13,2.03,0.95,2.24,2.11,1.82,4.87,1.06,,,
August,,,,4.31,2.01,2.4,0.6,2.04,2.85,1.88,3.03,0.67,5.47,1.16,1.42,3.13,5.2,,,
September,,,,3.19,1.32,1.86,1.46,0.78,1.63,2.26,0.58,1.47,2.51,1.38,1.12,2,1.43,,,
October,,,,6.22,1.54,1.6,3.78,3.11,1.62,3.9,2.36,4.22,2.46,3.59,1.23,2.07,3.79,,,
November,,,,1.89,1.79,3.32,3.94,2.17,0.64,0.84,3.55,3.65,1.98,2.79,3.14,2.44,4.53,,,
December,,,,1.65,1.74,0.9,2.58,3.89,2.21,2.94,3.72,5.13,3,0.87,6.89,5.66,3.13,,,
Total,,,,,22.06,23.92,26.11,24.89,24.54,25.6,28.97,26.3,30.86,23.25,27.54,34.49,35.4,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Reservoir Road at the stated altitude.,,,,,,,,,,,,,,,,,,,,
