MINCHINHAMPTON-CAMP-FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO869010,Long,-2.1909828,Lat,51.707581,Elevation,640,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.82,4.49,2.89,1.17,3.45,4.74,4.62,2.99,4.49,2.2,4.54,3.16,5.62,3.48,7.01,0.62,5.39,2.75,5.14,3.43,2.88,0.62,3.99,4.93,4.96,7.96,2.93
February,,,,,3.15,5.55,4.65,1.31,1.86,3.46,1.09,0.31,4.36,7.96,0.41,4.41,2.5,4.21,3.48,0.71,0.57,2.77,0.19,4.3,0.26,3.36,2.96,5.57,1.09,1.74,3.42
March,,,,,4.31,1.56,3.88,3.1,1.41,5.48,3.46,2.01,3.6,2.6,1.25,0.43,0.69,4.4,3.68,0.27,2.59,0.4,2.87,3.62,2.4,0.72,2.43,4.6,0.22,2.24,2.71
April,,,,,1.28,1.21,1.21,1.57,2.32,2.18,4.85,0.83,3.45,3.21,3.39,2.14,4.23,1.37,1.32,1.1,2.65,3.48,4.02,1.41,2.12,6.09,2.45,5.21,0.09,3.81,1.93
May,,,,,1.81,2.84,3.52,2.71,1.95,0.43,1.89,2.01,0.78,1.7,5.73,3.88,2.91,1.08,1.05,2.61,1.52,4.21,6.91,2.46,1.27,1.36,0.97,1.87,2.69,1.06,2.79
June,,,,,2.56,0.84,2.4,3.04,1,1.36,2.84,0.1,0.93,0.46,3.01,0.01,1.86,3.76,2.9,1.65,0.95,3.9,2.08,1.67,1.37,3.73,1.85,1.32,1.58,1.99,0.68
July,,,,,3.7,4.23,2.29,2.47,3.91,2.84,5.17,0.55,4.72,1.76,5.09,3.62,2.63,3.74,2.71,2.22,3.66,5.58,3.17,2.46,2.39,0.57,5.55,2.7,3.12,5.47,5.71
August,,,,,1.75,3.14,4.45,7.66,1.92,2.9,1.17,2.64,4.79,2.7,3.9,3.53,2.24,5.32,2.61,2.97,3.39,7.82,1.3,0.92,2.27,2.23,0.49,0.58,3.03,3.57,0.11
September,,,,,1.58,1.45,1.21,3.35,7.23,1.87,2.29,1.87,2.03,2.68,4.41,4.29,1.31,6,0.92,0.28,4.64,3.32,4.55,3.12,2.39,5.85,2.94,2.82,3.13,0.9,1.02
October,,,,3.45,2.14,5.16,6.73,4,1.54,1.98,2.19,1.64,1.25,5.3,5.51,4.23,3.33,2.68,6.62,5.23,2.92,0.94,6.02,3.55,2.66,4.61,1.42,3.7,4.14,3.29,
November,,,,3.5,4.39,2.1,3.06,0.81,2.98,1.8,1.94,2.64,2.1,2.2,3.07,2.22,7.52,2.98,4.79,10.65,4.09,5.94,2.91,0.8,1.84,6.89,3.87,1.83,4.19,5.86,
December,,,,1.34,7.64,7.12,3.88,0.78,3.55,5.04,4.09,1.74,5.47,4.19,5.18,4.57,0.48,4.31,3.58,9.4,4.74,1.9,1.96,0.09,7.94,4.69,4.85,2.87,4.47,2.4,
Total,,,,,35.13,39.69,40.17,31.97,33.12,34.08,35.6,19.33,37.97,36.96,45.49,36.49,35.32,43.33,40.67,37.71,37.11,43.01,41.12,27.83,29.79,40.72,33.77,38,32.71,40.29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
