WROTHAM-WHITEHILL,,,,,,,,,,
Grid ref,TQ618590,Long,0.31988421,Lat,51.307122,Elevation,365,ft,,
Station no,RR8366,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.52,1.54,3.04,,,,,,,
February,4.01,1.56,1.78,,,,,,,
March,1.52,2.19,4.05,,,,,,,
April,2.27,2.35,0.06,,,,,,,
May,3.96,1.04,1.07,,,,,,,
June,2.25,1.86,3.01,,,,,,,
July,2.59,0.24,1.23,,,,,,,
August,2.31,1.1,4.89,,,,,,,
September,0.95,1.48,2.9,,,,,,,
October,2.61,4.19,3.12,,,,,,,
November,4.14,6.56,2.64,,,,,,,
December,4.34,5.76,2.96,,,,,,,
Total,33.47,29.87,30.75,,,,,,,
