MARGARETTING-FURZE-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL666021,Long,0.40902021,Lat,51.69293,Elevation,200,ft,,,,,,,,,,,,
Station no,1287/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.4,3.67,2.28,5.96,1.92,2.04,,,,,,,,,
February,,,,,,1.82,4.14,0.58,0.89,1.56,2.32,,,,,,,,,
March,,,,,,0.94,2.89,0.39,1.44,2.79,2.62,,,,,,,,,
April,,,,,,1.25,3.25,0.27,3.14,2.03,1.37,,,,,,,,,
May,,,,,,0.36,2.74,1.87,1.95,1.35,1.48,,,,,,,,,
June,,,,,,4.04,2.12,0.42,1.44,0.73,0.79,,,,,,,,,
July,,,,,,3.39,2.38,0.85,3.33,3.26,4.67,,,,,,,,,
August,,,,,,0.74,0.87,1.69,4.64,0,3.72,,,,,,,,,
September,,,,,,2.99,1.72,3.15,0.36,1.46,0.6,,,,,,,,,
October,,,,,,1.67,1.26,2.61,6.52,2.56,0.81,,,,,,,,,
November,,,,,,3.18,1.77,2.77,3.92,6.38,2.47,,,,,,,,,
December,,,,,,1.99,3.75,2.74,1.1,1.5,,,,,,,,,,
Total,,,,,,26.77,30.56,19.62,34.69,25.54,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Aug dash=zero,,,,,,,,,,,,,,,,,,,,
1941 Dec estimated,,,,,,,,,,,,,,,,,,,,
