CANTERBURY-ST-THOMAS-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TR132593,Long,1.0564849,Lat,51.292901,Elevation,230,ft,,,,,,,,,,,,
Station no,RR6364,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,3.8,1.05,2.83,1.13,1.77,0.84,2.75,1.82,2.39,4.29,0.88,3.11,1.04,2.73,2.83,3.89
February,,,,,2.84,0.99,2.29,1.75,1.13,1.16,3.11,1.31,1.7,0.75,3.14,3.96,4.65,0.72,0.91,1.97
March,,,,,1.73,3.18,1.58,0.64,2.26,5.18,1.69,2.44,3.57,2.62,5.15,1.01,4.66,2.01,0.98,3.83
April,,,,,1.07,2.39,1.04,2.5,1.98,1.7,2.16,1.5,0.33,3.22,1.84,1.52,2.15,2.27,1.97,3.41
May,,,,,2,1.43,1.78,2.23,2.68,0.73,3.84,1.06,0.87,1.02,0.93,4.08,2.02,1.18,2.08,0.16
June,,,,,1.58,5.46,3.23,3.41,1.06,3.62,4.05,2.96,3.17,0.72,0.91,0.34,2.34,1.45,1.03,0.93
July,,,,,1.14,1.19,0.59,1.68,2.74,2.75,2.23,0.39,2.95,2.1,3.24,3.1,1.83,6.65,3.74,3.27
August,,,,,1.51,1.96,0.46,1.62,3.76,2.58,2.35,0.83,7.25,2.69,1.58,2.74,1.73,7.79,0.58,2.44
September,,,,,2.28,1.7,1.73,0.34,2.91,3.56,1.17,1.76,3.32,1.2,0.78,3.32,0.88,0.82,4.98,1
October,,,,,2.05,2.56,3.26,4.53,1.62,6.67,1.9,6.91,3.38,4.05,3.59,1.93,4.18,3.75,2.63,1.67
November,,,,,1.56,3.1,5.15,2.18,1.34,0.85,4.28,4.49,2.42,3.44,4.23,3.92,5.02,1.43,2.37,2.6
December,,,,,2.67,0.8,2.64,2.77,2.92,4.21,3.79,5.31,2.85,1.08,6.61,6.18,2.8,2.83,1.99,3.07
Total,,,,,24.23,25.81,26.58,24.78,26.17,33.85,33.32,30.78,34.2,27.18,32.88,35.21,33.3,33.63,26.09,28.24
