CANTERBURY ST THOMAS' HILL,,,,,,,,,,,,
Grid ref,TR139587,Long,1.066150,Lat,51.287251,,,,,,,
Station no,RR6364,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.84,1.46,0.59,,
February,,,,,,,,1.47,1.06,0.94,,
March,,,,,,,,0.54,2.05,3.69,,
April,,,,,,,,2.12,1.92,1.47,,
May,,,,,,,,1.78,2.32,0.68,,
June,,,,,,,,3.09,0.86,2.89,,
July,,,,,,,,1.26,2.09,2.03,,
August,,,,,,,,1.24,2.92,2.47,,
September,,,,,,,,0.24,2.68,3.22,,
October,,,,,,,,4.03,1.34,5.52,,
November,,,,,,,,1.90,1.13,0.63,,
December,,,,,,,,2.41,2.39,3.45,,
Total,,,,,,,,21.92,22.22,27.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.92,22.22,27.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
