CANTERBURY-ST-THOMAS-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TR139587,Long,1.06615,Lat,51.287251,Elevation,95,ft,,,,,,,,,,,,
Station no,RR6364,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.84,1.46,0.59,2.41,,,,,,,,,
February,,,,,,,,1.47,1.06,0.94,2.38,,,,,,,,,
March,,,,,,,,0.54,2.05,3.69,1.38,,,,,,,,,
April,,,,,,,,2.12,1.92,1.47,1.89,,,,,,,,,
May,,,,,,,,1.78,2.32,0.68,3.16,,,,,,,,,
June,,,,,,,,3.09,0.86,2.89,3.76,,,,,,,,,
July,,,,,,,,1.26,2.09,2.03,1.75,,,,,,,,,
August,,,,,,,,1.24,2.92,2.47,2.01,,,,,,,,,
September,,,,,,,,0.24,2.68,3.22,1.02,,,,,,,,,
October,,,,,,,,4.03,1.34,5.52,1.6,,,,,,,,,
November,,,,,,,,1.9,1.13,0.63,3.53,,,,,,,,,
December,,,,,,,,2.41,2.39,3.45,3.35,,,,,,,,,
Total,,,,,,,,21.92,22.22,27.58,28.24,,,,,,,,,
