CANTERBURY ST THOMAS HILL,,,,,,,,,,,,
Grid ref,TR135592,Long,1.060721,Lat,51.291891,,,,,,,
Station no,RR6364,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.80,1.05,2.83,1.13,1.77,0.84,,
February,,,,,2.84,0.99,2.29,1.75,1.13,1.16,,
March,,,,,1.73,3.18,1.58,0.64,2.26,5.18,,
April,,,,,1.07,2.39,1.04,2.50,1.98,1.70,,
May,,,,,2.00,1.43,1.78,2.23,2.68,0.73,,
June,,,,,1.58,5.46,3.23,3.41,1.06,3.62,,
July,,,,,1.14,1.19,0.59,1.68,2.74,2.75,,
August,,,,,1.51,1.96,0.46,1.62,3.76,2.58,,
September,,,,,2.28,1.70,1.73,0.34,2.91,3.56,,
October,,,,,2.05,2.56,3.26,4.53,1.62,6.67,,
November,,,,,1.56,3.10,5.15,2.18,1.34,0.85,,
December,,,,,2.67,0.80,2.64,2.77,2.92,4.21,,
Total,,,,,24.23,25.81,26.58,24.78,26.17,33.85,,
Calc annual,0.00,0.00,0.00,0.00,24.23,25.81,26.58,24.78,26.17,33.85,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
