"GILLERTHWAITE, ENNERDALE",,,,,,,,,,,,,,,,,,,,
Grid ref,NY134141,Long,-3.3392,Lat,54.5149,Elevation,396,ft,,,,,,,,,,,,
Station no,RR1974,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,3.5,7.2,14.2,4.89,17.04,,,,,,,,
February,,,,,,,,4.91,16.93,3.25,12,9,,,,,,,,
March,,,,,,,,2.54,7.3,3,4.13,6.68,,,,,,,,
April,,,,,,,,4.3,3,1.8,7.14,3.89,,,,,,,,
May,,,,,,,3.48,4.92,3.4,4.68,3,2.81,,,,,,,,
June,,,,,,,5.76,4.83,6.16,2.8,6.3,6.9,,,,,,,,
July,,,,,,,15.2,1.98,9.58,10.07,8.65,8.18,,,,,,,,
August,,,,,,,9.01,6.12,9.26,7.08,10.43,6.89,,,,,,,,
September,,,,,,,2.75,9.34,4.86,4,4.03,4.6,,,,,,,,
October,,,,,,,15.78,10.5,9.7,11.6,6,11.36,,,,,,,,
November,,,,,,,7.9,17.1,9.6,9.6,12.34,3,,,,,,,,
December,,,,,,,3.94,10.09,10.74,4.33,5.72,3.93,,,,,,,,
Total,,,,,,,,80.13,97.73,76.41,84.63,84.28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR at footbridge below Low Gillerthwaite - right elevation for record.,,,,,,,,,,,,,,,,,,,,
