WINCHESTER (BEREWEEKE ROAD),,,,,,,,,,,,
Grid ref,SU475304,Long,-1.323427,Lat,51.070971,,,,,,,
Station no,721/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.75,2.45,1.00,2.25,3.30,4.63,2.47,4.01,3.65,4.38,,
February,6.51,0.79,1.79,3.15,1.66,0.26,3.95,2.75,0.08,2.98,,
March,4.18,3.16,0.69,3.49,1.12,0.86,2.20,1.90,3.77,1.57,,
April,3.02,1.91,2.73,0.43,0.51,1.36,0.21,0.65,3.32,1.37,,
May,3.25,2.85,2.49,1.72,4.52,0.52,1.55,2.27,0.53,1.09,,
June,1.37,1.35,2.30,3.48,2.74,2.18,1.63,3.32,0.98,2.95,,
July,1.88,0.33,3.48,3.19,0.50,3.18,4.46,2.07,2.20,4.69,,
August,5.14,3.83,2.25,3.78,0.32,3.68,4.04,3.69,2.10,4.15,,
September,4.54,2.61,2.40,3.24,2.75,3.64,3.36,5.32,0.08,4.68,,
October,0.72,4.75,4.15,3.53,5.19,3.44,2.70,2.95,3.03,9.41,,
November,8.46,3.68,1.38,6.54,2.65,0.72,3.15,2.68,3.70,5.19,,
December,2.89,2.86,0.86,3.03,3.99,5.38,3.03,3.93,7.59,4.15,,
Total,45.71,30.57,25.52,37.83,29.25,29.85,32.75,35.54,31.03,46.61,,
Calc annual,45.71,30.57,25.52,37.83,29.25,29.85,32.75,35.54,31.03,46.61,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
