"STIRLING, WESTERLANDS",,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 79825 92367,Long,-3.933971,Lat,56.108898,Elevation,110,ft,,,,,,,,,,,,,
Station no,5359,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.33,4.71,5.96,4.85,10.44,1.63,4.38,3.25,5.45,5.16,3.36,,,,,,
February,,,,,0.59,4.34,5.36,2.61,4.83,1.73,0.49,2.96,0.07,2.57,0.21,,,,,,
March,,,,,0.96,1.64,2.13,3.15,4.56,0.48,2.75,1.15,2.07,2.13,2.63,,,,,,
April,,,,,2.54,4.06,1.88,1.79,1.33,0.85,0.91,2.05,3.89,1.3,4.08,,,,,,
May,,,,,5.44,6.91,3.15,2.6,1.66,2.55,1.39,4.39,3.52,2.59,1.86,,,,,,
June,,,,,2.79,0.47,2.28,4.21,4.87,2.14,2.44,5.97,1.43,1.14,2.23,,,,,,
July,,,,,4.05,1.21,3.78,3.91,2.25,2.77,5.04,4.79,2.53,3.54,1.68,,,,,,
August,,,,,3.18,3.31,2.91,7.02,5.25,4.62,6.34,2,1.19,1.75,4.34,,,,,,
September,,,,,3.68,3.16,3.37,5.74,3.43,0.94,4.55,0.9,4.51,0.89,4.89,,,,,,
October,,,,,3.37,3.96,4.04,6.44,6.12,4.42,4.81,2.32,5.5,3.33,5.44,,,,,,
November,,,,,2.95,0.66,6.68,1.61,5.49,5.96,4.23,8.08,2.31,2.49,0.47,,,,,,
December,,,,,7.36,3.23,0.85,1.21,4.46,7.07,4.42,3.3,7.31,0.64,5,,,,,,
Total,,,,,41.24,37.66,42.39,45.14,54.69,35.16,41.75,41.16,39.78,27.53,36.19,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1933 Ja adj,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5359,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
