Rainfall at,BLACKBURN WITTON
,
Station no,2950,
,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,6.24,1.74,4.01,5.91,3.94,7.26,3.72,3.34,3.72,5.34,
February,4.78,4.74,1.85,1.86,4.13,7.56,4.32,1.13,6.18,0.94,
March,1.10,2.31,6.54,6.28,6.27,2.33,2.36,3.00,1.61,7.61,
April,4.07,3.37,0.91,5.87,1.85,2.98,4.39,2.76,1.73,3.18,
May,3.84,3.30,2.38,4.71,2.61,1.79,3.26,1.83,2.28,1.83,
June,3.40,4.78,5.87,3.35,3.46,2.24,3.06,2.78,2.99,2.04,
July,5.28,0.35,5.63,1.69,5.19,4.45,2.39,2.86,3.82,2.23,
August,7.04,3.54,7.39,3.13,2.92,6.35,3.30,6.82,5.92,4.59,
September,0.59,4.57,1.98,2.17,5.37,0.93,2.83,2.79,15.31,2.88,
October,3.85,3.51,4.76,2.55,2.67,1.43,9.14,10.84,4.60,3.01,
November,5.51,4.21,4.37,6.16,7.47,2.29,3.12,7.31,3.30,3.64,
December,4.18,8.21,4.96,4.24,7.20,6.92,3.33,3.77,8.89,7.75,
Total,-999.00,44.63,50.65,47.92,53.08,46.53,45.22,49.23,60.35,45.04,
Calc annual,49.88,44.63,50.65,47.92,53.08,46.53,45.22,49.23,60.35,45.04,
Difference,-1048.88,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,
