CARLOPS (NORTH ESK RESERVOIR),,,,,,,,,,,,
Grid ref,NT154578,Long,-3.351293,Lat,55.806040,,,,,,,
Station no,5080,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.36,3.31,1.29,3.85,2.06,2.32,5.21,2.64,1.11,3.98,,
February,2.79,0.89,1.46,2.02,1.53,1.90,2.87,2.47,1.28,3.23,,
March,3.38,1.83,1.12,2.41,1.73,2.18,3.25,1.64,1.34,2.00,,
April,4.76,1.84,2.88,1.63,1.57,1.12,1.76,1.54,2.69,2.35,,
May,2.81,1.33,2.33,5.12,3.13,2.21,2.11,2.86,1.59,1.41,,
June,2.29,3.23,1.99,3.59,1.42,3.13,2.66,3.27,2.79,1.48,,
July,4.07,3.18,5.66,3.28,2.48,5.37,5.06,6.26,4.03,3.36,,
August,6.32,4.64,2.79,5.77,2.20,7.46,5.93,3.70,1.02,4.45,,
September,2.14,3.72,3.89,4.96,3.13,3.86,2.34,5.01,0.95,2.04,,
October,1.02,2.51,1.78,8.78,2.41,3.28,4.22,2.57,4.15,3.74,,
November,5.56,3.39,6.77,4.94,1.16,1.36,2.19,1.63,7.03,4.39,,
December,4.64,4.48,4.55,6.10,6.21,4.70,5.26,5.47,4.31,5.12,,
Total,44.14,34.35,36.51,52.45,29.03,38.89,42.86,39.06,32.29,37.55,,
Calc annual,44.14,34.35,36.51,52.45,29.03,38.89,42.86,39.06,32.29,37.55,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
