Rainfall at,N ESK RESERVOIR [PENICUICK]
,
Station no,,
,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,5.35,2.10,2.00,1.30,5.35,3.75,1.10,2.35,2.05,6.40,
February,0.90,1.25,3.50,5.20,11.90,0.80,1.95,2.30,3.20,2.25,
March,3.75,5.65,2.15,0.95,3.70,5.40,2.95,4.75,2.40,3.25,
April,1.50,1.05,0.90,0.90,1.70,1.50,1.85,2.20,2.55,4.65,
May,2.05,2.20,3.25,1.20,4.35,0.90,0.50,1.95,2.90,3.75,
June,5.75,1.50,3.25,4.70,3.10,1.40,3.75,4.45,2.35,1.35,
July,5.15,2.30,1.40,2.95,2.15,4.00,4.05,2.65,1.60,4.95,
August,5.60,6.60,4.90,3.25,5.50,6.35,2.20,4.05,5.60,0.95,
September,4.85,10.35,2.80,2.25,0.45,1.35,4.75,3.05,4.25,3.90,
October,4.35,3.08,5.00,3.65,2.80,3.85,6.00,1.85,5.15,3.60,
November,8.25,2.65,2.40,2.75,2.55,3.50,1.60,3.75,7.50,4.85,
December,2.55,9.15,1.85,4.40,3.45,4.80,5.85,5.00,6.00,3.35,
Total,50.05,47.88,33.40,33.50,47.00,37.60,36.55,38.35,45.55,43.25,
Calc annual,50.05,47.88,33.40,33.50,47.00,37.60,36.55,38.35,45.55,43.25,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
