N. ESK RESERVOIR (PENICUICK),,,,,,,,,,,,
Grid ref,NT154578,Long,-3.351293,Lat,55.806040,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.30,2.75,2.70,5.40,3.25,2.05,4.95,2.45,4.50,4.45,,
February,4.45,2.30,1.35,6.25,3.85,2.65,2.35,3.10,2.40,2.35,,
March,1.60,2.90,3.10,6.75,3.05,4.00,3.35,4.50,4.80,6.15,,
April,2.65,2.10,1.90,1.50,4.30,3.10,1.70,2.25,2.50,2.00,,
May,1.50,1.95,3.10,2.35,4.20,1.50,5.65,3.30,2.65,2.50,,
June,2.85,2.10,2.15,2.00,2.80,1.45,1.65,3.45,1.75,2.50,,
July,3.85,0.85,2.80,4.15,2.80,2.70,2.90,3.35,2.75,4.70,,
August,4.00,6.15,1.50,4.85,4.50,3.60,6.55,4.85,3.35,2.65,,
September,3.95,1.65,2.25,2.70,2.00,3.10,1.20,1.45,4.00,3.20,,
October,5.65,2.80,2.50,7.90,1.40,2.25,8.30,9.00,1.40,4.80,,
November,5.60,4.40,1.05,3.25,2.60,3.65,6.60,1.80,2.95,1.40,,
December,8.75,4.70,3.45,1.80,3.60,2.80,4.60,3.50,1.10,4.00,,
Total,49.15,34.65,27.85,48.90,38.35,32.85,49.80,43.00,34.15,40.70,,
Calc annual,49.15,34.65,27.85,48.90,38.35,32.85,49.80,43.00,34.15,40.70,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
