N. ESK RESERVOIR PENICUICK,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,1.15,2.80,3.75,3.45,4.95,2.50,5.95,1.40,2.95,1.30,,
February,3.40,3.10,3.25,1.60,3.55,2.75,1.55,2.80,2.65,2.00,,
March,2.30,4.45,5.50,1.95,2.40,2.00,2.70,1.95,4.90,2.45,,
April,3.80,1.05,3.20,1.05,1.10,2.00,1.70,1.60,2.10,3.40,,
May,1.30,2.50,2.65,1.35,4.15,2.65,4.55,2.35,1.35,2.45,,
June,1.85,2.85,4.45,2.65,1.45,1.10,1.45,0.70,2.05,1.50,,
July,2.95,4.70,4.70,4.10,5.65,1.40,3.20,3.00,6.25,4.30,,
August,0.65,6.30,2.50,4.15,1.40,2.35,2.25,4.05,3.05,7.10,,
September,5.15,3.55,3.10,3.50,2.70,5.10,4.60,5.70,1.15,1.50,,
October,3.70,2.80,3.35,3.90,3.20,2.50,4.50,2.55,2.15,4.45,,
November,6.30,3.75,4.45,4.15,2.30,1.65,3.50,5.75,8.60,1.00,,
December,4.35,2.85,5.65,2.60,5.15,1.85,2.60,2.50,2.00,3.40,,
Total,36.90,40.70,46.55,34.45,38.00,27.85,38.55,34.35,39.20,34.85,,
Calc annual,36.90,40.70,46.55,34.45,38.00,27.85,38.55,34.35,39.20,34.85,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
