"BRENT RESERVOIR",,,,,,,,,,,,
Grid ref,TQ209870,Long,-0.256997,Lat,51.568920,,,,,,,
Station no,860/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.67,1.55,0.88,0.93,2.58,4.00,1.32,2.55,2.03,1.95,,
February,4.58,0.81,1.60,2.27,1.53,0.37,2.88,2.39,0.11,2.34,,
March,3.23,2.80,0.38,2.20,1.08,0.97,1.16,1.17,2.00,1.88,,
April,2.56,1.29,2.23,0.24,0.53,1.02,0.27,1.88,2.19,0.67,,
May,2.41,2.11,1.48,2.81,4.76,0.41,1.09,2.42,0.71,2.08,,
June,1.27,1.75,1.50,3.40,1.86,1.85,0.78,4.75,1.24,1.43,,
July,1.19,0.52,4.07,2.94,0.15,3.75,3.81,2.21,1.24,3.30,,
August,3.53,4.64,1.89,3.19,0.97,4.30,2.28,3.19,2.55,2.55,,
September,3.57,3.71,1.83,1.91,1.70,1.95,2.29,4.50,0.07,4.16,,
October,1.06,2.81,2.95,2.25,3.65,3.68,1.99,2.49,2.25,5.41,,
November,4.71,3.84,1.33,3.40,1.03,0.43,2.15,2.22,2.21,3.78,,
December,1.44,2.18,0.55,1.46,2.20,2.77,1.96,3.01,3.63,2.81,,
Total,32.22,28.01,20.69,27.00,22.04,25.50,21.98,32.78,20.23,32.36,,
Calc annual,32.22,28.01,20.69,27.00,22.04,25.50,21.98,32.78,20.23,32.36,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
