BRENT-RES-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ209870,Long,-0.25699748,Lat,51.56892,Elevation,138,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,860/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.23,2.09,2.32,4.15,1.53,1.86,1.5,1.77,4.37,1.02,0.88,2.67,1.55,0.88,0.93,2.58,4,1.32,2.55,2.03,1.95
February,,,,,,,,,,1.62,1.77,0.83,1.2,0.77,1.47,2.78,1.5,1.39,0.91,3.11,4.58,0.81,1.6,2.27,1.53,0.37,2.88,2.39,0.11,2.34
March,,,,,,,,,,2.84,2.84,1.66,0.31,0.14,0.63,1.27,6.01,0.56,0.96,0.67,3.23,2.8,0.38,2.2,1.08,0.97,1.16,1.17,2,1.88
April,,,,,,,,,,2.1,1.78,1.21,1.03,1.47,1.17,2.07,1.61,1.62,1.47,2.02,2.56,1.29,2.23,0.24,0.53,1.02,0.27,1.88,2.19,0.67
May,,,,,,,,,1.22,1.65,1.74,3.02,2.13,0.59,2.87,3.19,1.03,3.01,2.15,1.58,2.41,2.11,1.48,2.81,4.76,0.41,1.09,2.42,0.71,2.08
June,,,,,,,,,1.24,1.36,2.11,0.42,1.07,1.61,1.68,3.13,3.57,1.87,0.71,1.28,1.27,1.75,1.5,3.4,1.86,1.85,0.78,4.75,1.24,1.43
July,,,,,,,,,2.5,2.14,4.83,1.9,1.61,1.3,2.87,3.13,3.07,1.04,1.03,4.35,1.19,0.52,4.07,2.94,0.15,3.75,3.81,2.21,1.24,3.3
August,,,,,,,,,5.68,0.09,5.43,1.95,1.4,2.29,1.03,4.52,0.75,2.45,1.56,2.03,3.53,4.64,1.89,3.19,0.97,4.3,2.28,3.19,2.55,2.55
September,,,,,,,,,1.23,0.86,0.46,1.14,2.33,2.41,1.47,4.62,1.39,1.44,0.4,2.73,3.57,3.71,1.83,1.91,1.7,1.95,2.29,4.5,0.07,4.16
October,,,,,,,,,5.27,2.91,0.82,3.76,2.55,3.13,2.96,1.99,0.27,2.11,5.15,0.41,1.06,2.81,2.95,2.25,3.65,3.68,1.99,2.49,2.25,5.41
November,,,,,,,,,4.45,6.64,2.48,2.01,1.38,3.61,0.2,4.28,1.2,1.78,2.29,4.56,4.71,3.84,1.33,3.4,1.03,0.43,2.15,2.22,2.21,3.78
December,,,,,,,,,0.92,1.28,1.8,2.34,1.34,1.17,2.77,2.03,2.59,2.27,1.29,1.73,1.44,2.18,0.55,1.46,2.2,2.77,1.96,3.01,3.63,2.81
Total,,,,,,,,,,25.72,28.15,22.56,20.5,20.02,20.98,34.51,24.76,23.91,18.94,25.35,32.22,28.01,20.69,27,22.04,25.5,21.98,32.78,20.23,32.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 5611 start Jan 1939 end Jan 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record. Altitudes match. 1800s gauge may have been in different location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
