"STOCKTON-ON-TEES - ROPNER PARK",,,,,,,,,,,,
Grid ref,NZ434182,Long,-1.330440,Lat,54.557186,,,,,,,
Station no,3514,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.63,1.63,0.84,2.07,1.81,3.01,1.82,1.65,2.59,4.25,,
February,1.77,0.42,2.28,1.50,1.66,1.82,1.62,3.30,0.58,2.01,,
March,3.21,1.28,0.10,1.32,1.19,0.59,0.95,1.96,0.42,1.41,,
April,1.31,1.43,1.69,0.22,0.85,0.76,0.21,1.37,1.39,0.70,,
May,4.22,1.85,1.91,2.86,1.82,0.45,1.04,2.68,0.83,0.84,,
June,1.44,1.13,2.20,2.09,2.69,3.35,2.60,3.22,1.62,0.33,,
July,2.11,1.34,2.72,1.56,1.06,2.83,3.68,2.94,1.31,5.31,,
August,5.44,2.34,3.40,4.93,0.78,7.04,2.66,3.32,0.17,3.11,,
September,0.92,4.44,1.26,1.56,1.27,1.89,2.88,2.20,1.02,2.11,,
October,1.31,3.24,1.43,4.30,1.56,1.27,1.75,1.19,1.06,5.49,,
November,4.32,3.22,1.42,3.55,1.79,0.82,1.30,0.70,3.60,2.73,,
December,3.30,1.91,0.77,1.58,2.11,1.84,1.43,2.52,2.41,2.79,,
Total,30.98,24.23,20.02,27.54,18.59,25.67,21.94,27.05,17.00,31.08,,
Calc annual,30.98,24.23,20.02,27.54,18.59,25.67,21.94,27.05,17.00,31.08,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
