"EDINBURGH, CHARLOTTE SQUARE",,,,,,,,,,,,
Grid ref,NT247739,Long,-3.207440,Lat,55.952205,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.26,1.13,0.74,3.19,1.50,0.40,2.00,0.30,1.75,1.45,,
February,1.78,0.87,0.70,2.92,1.78,0.70,0.37,0.58,0.58,0.80,,
March,0.74,1.00,0.63,2.86,0.95,1.82,1.32,1.40,2.38,2.37,,
April,1.09,0.63,1.02,0.81,1.42,0.90,0.58,1.00,1.30,2.04,,
May,0.73,1.64,2.09,0.95,3.01,0.58,4.18,1.90,1.47,1.25,,
June,2.62,2.00,2.03,1.02,1.10,1.05,1.31,2.35,0.80,1.35,,
July,2.57,1.04,2.25,4.15,1.07,1.49,1.45,2.55,3.08,2.95,,
August,4.28,2.80,1.19,1.78,3.95,2.17,4.70,3.40,0.63,1.10,,
September,1.30,0.85,0.93,1.85,1.40,1.30,0.35,0.87,2.47,1.92,,
October,3.46,1.26,0.62,4.78,0.48,1.45,4.59,6.33,0.90,3.28,,
November,4.54,2.43,0.40,1.03,0.60,2.95,3.05,0.70,1.17,0.55,,
December,2.95,1.78,1.16,0.90,1.88,0.98,1.07,2.79,0.15,1.95,,
Total,27.32,17.43,13.76,26.24,19.14,15.79,24.97,24.17,16.68,21.01,,
Calc annual,27.32,17.43,13.76,26.24,19.14,15.79,24.97,24.17,16.68,21.01,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
