EDINBURGH CHARLOTTE SQUARE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT247739,Long,-3.20744,Lat,55.952205,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,
January,,,,,,,,0.6,0.72,2.3,1.05,1.94,1.75,,1.62,0.32,1.95,0.62,0.94,1.28,2.3,0.33,2.7,-999,0.79,1.15,1.65,1.93,1.7,1.75,1,0.52,2.45,1.45,1.14,1.82,0.52,3.9,1.67,0.75,0.35,0.2,0.7,1.15,2.65,0.73,2,0.35,1.25,0.4,2.2,0.3,0.63,0.4,1.12,1.15,0.3,,0.51,4.02,1.26,1.13,0.74,3.19,1.5,0.4,2,0.3,1.75,1.45,,,,,,,,,,,1.76,2.67,1.2,0.55,,,,,,,,,,
February,,,,,,,,0.45,4,0.6,1.86,0.21,1.54,,0.22,0.62,1.63,0.17,0.4,0.92,0.75,0.95,0.3,-999,1.3,0.7,2,1.2,1.42,1.75,1.3,1.65,1.38,1,0.35,0.42,2.5,1.5,0.78,0.97,1.12,1.7,0.9,0.45,0.52,1.08,0.9,0.5,0.6,0.4,0.68,0.06,1.2,1.59,4.46,0.18,0.52,,0.46,0.99,1.78,0.87,0.7,2.92,1.78,0.7,0.37,0.58,0.58,0.8,,,,,,,,,,,1.81,0.32,1.34,1.37,,,,,,,,,,
March,,,,,,,,0.4,2.18,0.64,0.2,2.67,0.4,,0.56,0.5,0.05,1.35,0.55,1.55,0.75,1.4,2.4,0.42,1.8,0.28,1,0.4,1.53,0.25,1.6,0.6,2,1,0.95,0.6,2.2,1.22,0.3,1.52,1.1,1.05,1.55,0.35,1.05,0.98,1.35,0.8,2.28,0.45,0.95,2.21,1.05,0.2,0.94,1.71,0.88,,0.69,1.32,0.74,1,0.63,2.86,0.95,1.82,1.32,1.4,2.38,2.37,,,,,,,,,,,1.59,1.53,0.9,0.76,,,,,,,,,,
April,,,,,,,,0.85,0.96,0.5,0.9,1.52,0.2,,0.14,0.27,1.37,1.35,0.5,2.05,0.3,1.1,0.9,1.6,0.8,0.15,0.75,2,2.38,0.6,0.15,3.1,1.15,0.05,0.5,0.41,2.7,2.2,0.95,1.55,2.45,0.78,1.9,1.1,0.4,1.38,0.8,0.8,0.82,1.85,0.5,0.14,0.68,1.24,1.2,0.78,0.51,,1.92,1.92,1.09,0.63,1.02,0.81,1.42,0.9,0.58,1,1.3,2.04,,,,,,,,,,,1.3,0.46,0.85,1.32,,,,,,,,,,
May,,,,,,,,3.9,0.46,1.47,2.3,0.27,1.53,0.83,1.7,1.18,2.5,1.25,1.25,0,1.3,0.45,3.05,1.22,1.75,2.7,1.1,2.9,1.4,1.32,0.8,0.42,2.6,2.1,1.1,0.6,0.75,1.65,2.4,1.28,0.45,1.4,2.15,0.3,1.72,1.65,3.3,1.15,0.5,1.5,1.2,1.11,2.26,1.13,2.33,0.88,0.2,,1.54,3.35,0.73,1.64,2.09,0.95,3.01,0.58,4.18,1.9,1.47,1.25,,,,,,,,,,,1.89,1.13,1.09,1,,,,,,,,,,
June,,,,,,,,1.7,5.14,1.14,0.6,1.6,2.15,5.95,2.6,2.13,2.35,3.05,2.38,1.63,2.6,2.25,2.14,2.9,0.9,0.37,0.9,2.3,0.2,1.2,1.65,1.3,2.4,0.75,1.3,1.45,2.1,1.42,1.8,4.27,1.14,1.25,2.24,1.4,0.36,0.17,1.2,0,1.9,1.14,2.1,0.3,2.25,1.45,2.27,2.25,2.7,,0.86,2.78,2.62,2,2.03,1.02,1.1,1.05,1.31,2.35,0.8,1.35,,,,,,,,,,,0.9,0.32,1.4,0.7,,,,,,,,,,
July,,,,,,,,1.4,0.97,1.66,0.95,2.35,1.5,1.75,1.5,3.45,1.65,1.28,3.53,2.6,0.92,3.47,1.9,0.48,1.8,2.8,2.8,4.8,0.1,0.4,1.25,1.8,2.48,2.2,2.95,3,0.86,4.1,0.55,4.75,3,2.5,2.88,3.7,4.03,0.5,2.35,1,4.55,3.1,1.85,2.35,0.69,2.1,1.99,4.1,3.55,,1.11,1.54,2.57,1.04,2.25,4.15,1.07,1.49,1.45,2.55,3.08,2.95,,,,,,,,,,,3.3,1.51,2.98,1.43,,,,,,,,,,
August,,,,,,,,0.37,1.43,1.87,1.5,3.35,3.5,2.7,1,2.38,3,1.74,1.8,0.44,1.9,2.81,3.08,2.9,0.6,2.8,2.05,1.97,3.6,0.45,0.85,1.9,2.52,3.8,4.12,0.8,2.8,6.9,3.2,2.2,0.2,4.66,0.95,2.74,1.7,1.93,0.5,1.3,1.47,4.45,2.85,3.73,3.98,2.44,3.28,3.95,1.6,,2.9,0.42,4.28,2.8,1.19,1.78,3.95,2.17,4.7,3.4,0.63,1.1,,,,,,,,,,,4.4,3.77,1.1,2.82,,,,,,,,,,
September,,,,,,,,0.7,0.75,0.93,1.2,1.1,1.7,1.3,0.45,0.2,4.25,3.88,1.58,0.9,,,1.73,2.3,2.8,0.4,2.3,1.15,2.35,3.35,1.05,1.6,4.63,3.82,1.22,2.14,3.8,1.05,2.35,1.05,2.25,2.95,1.4,1.75,1.72,1.7,1.8,3.65,0.37,0.65,1.8,3.04,0.8,1.18,0.15,0.7,2.85,,1.94,3.18,1.3,0.85,0.93,1.85,1.4,1.3,0.35,0.87,2.47,1.92,,,,,,,,,,,1.19,1.5,1.34,1.91,,,,,,,,,,
October,,,,,,,,2.33,3.55,1.3,0.8,1,1.45,2.08,1.1,2.15,0.45,0.82,3.2,2.7,1.25,,-999,1.68,5,2.9,0.9,0.85,1.26,1.15,,1.6,2.45,2.95,1.8,1.82,2.1,1.9,1.46,0.8,2.55,1.3,2,1.45,0.8,0.89,2.95,1,0.7,2.8,1.98,1.1,2.9,2.41,2.28,2.75,2.72,,2.67,0.62,3.46,1.26,0.62,4.78,0.48,1.45,4.59,6.33,0.9,3.28,,,,,,,,,,,0.81,3.24,0.97,1.2,,,,,,,,,,
November,,,,,,,,0.98,2.05,1.1,2.15,0.7,2.55,0.38,2.12,1.05,0.5,1.7,1.25,2.3,2.35,,-999,1.37,1.2,2.05,2,0.2,0.59,0.95,0.4,1.95,2.4,1.91,2.41,3.8,2.85,1.2,2.15,1.5,2.5,1.1,2.2,1.33,0.95,0.75,1.2,2.55,3.3,0.5,3.8,1.1,0.9,1.04,0.89,1.83,0.52,,2.54,1.98,4.54,2.43,0.4,1.03,0.6,2.95,3.05,0.7,1.17,0.55,,,,,,,,,,,1.05,0.87,0.95,1.88,,,,,,,,,,
December,,,,,,,,2.92,0.85,1.12,1.2,0.4,4.6,1,1.1,0.65,1.7,0.95,1.03,1.07,2.2,,1.8,1.63,0.95,0.75,1.3,1.1,0.8,0.69,1.2,0.95,1.22,1,1.32,1.1,4.8,1.24,1.3,1.1,1.85,1.3,3.25,0.7,2.2,0.4,1.5,0.6,0.5,0.75,1.24,3.4,0.83,1.58,1.1,1.62,2.35,,2.57,2.39,2.95,1.78,1.16,0.9,1.88,0.98,1.07,2.79,0.15,1.95,,,,,,,,,,,2.04,2.31,2.13,1.32,,,,,,,,,,
Total,,,,,,,,16.6,23.06,14.63,14.71,17.11,22.87,,14.11,14.9,21.4,18.16,18.41,17.44,,,24.12,19.22,19.69,17.05,18.75,20.8,17.33,,,17.39,27.68,22.03,19.16,17.96,27.98,28.28,18.91,21.74,18.96,20.19,22.12,16.42,18.1,12.16,19.85,13.7,18.24,17.99,21.15,18.84,18.17,16.76,22.01,21.9,18.7,,19.71,24.51,27.32,17.43,13.76,26.24,19.14,15.79,24.97,24.17,16.68,21.01,,,,,,,,,,,22.04,19.63,16.25,16.26,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1847 Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1862 Oct-Nov bracketed (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1863 Jan-Feb bracketed (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
