EDINBURGH CHARLOTTE SQUARE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT247739,Long,-3.20744,Lat,55.952205,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2,2.89,3.27,4,3.02,0.73,2.45,1.53,1.47,2.31,3.97,0.75,3.83,-999,1.25,2.29,2.49,5.62,3.61,2.84,1.68,1.25,3.63,2.32,1.74,2.74,0.8,5.17,2.56,1.29,0.47,1,1.2,2.24,3.78,1.13,3,0.6,1.62,0.6,3.2,0.49,0.9,0.54,2.02,1.6,0.6,0.74,0.82,3.35,1.79,2.43,1.15,4.28,2.49,0.6,2.85,0.6,2.35,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.74,0.59,2.01,1.5,0.61,1.24,2.27,0.45,1.02,1.44,1.6,1.47,0.9,-999,2.14,1.7,3.5,1.68,2.08,2.67,5.7,2.41,2.02,1.38,0.7,1.17,3.42,1.85,0.5,1.78,1.5,2.8,1.5,1.02,1.07,1.74,1.2,0.93,1.35,0.8,0.9,0.13,1.83,2.31,6.38,0.2,0.81,1.31,0.86,1.41,2.96,1.13,0.95,3.83,2.5,1.2,0.7,1.04,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.26,3.3,0.63,0.75,1.01,1.05,0.24,2.04,1.57,2.96,1.74,2.31,4.64,0.74,3.1,0.99,1.85,1.17,1.95,0.79,1.11,1.07,3.3,1.6,1.73,0.9,3.08,1.67,0.58,2.3,1.54,1.5,2.28,1.07,1.6,1.48,1.7,1.5,3.17,0.6,1.28,2.7,1.05,0.31,1.23,2.72,1.34,2.65,1.19,2.06,1.35,2.05,1.02,3.88,1.2,2.62,1.9,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.5,2.06,0.43,0.75,0.34,0.55,1.93,1.85,0.7,2.77,0.56,1.46,1.32,2.03,1.16,0.3,1.37,2.71,3.28,1.01,0.43,4.55,1.7,0.21,0.9,0.67,3.41,2.98,1.43,2.22,3.17,1.07,2.5,1.42,0.8,1.87,1.2,1,1.3,2.5,0.7,0.26,0.98,1.52,1.55,0.97,0.88,0.96,1.24,2.5,1.48,1.3,1.5,1.4,1.95,1.45,1.1,1.55,1.87,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.95,0.53,1.92,1.1,2.45,1.89,3.12,1.69,1.63,0.21,1.8,0.73,3.71,1.62,2.13,3.65,1.5,3.71,1.81,2.64,1.31,0.83,3.46,2.7,1.5,0.75,1.01,2.21,2.91,1.74,0.76,1.65,2.65,0.72,2.7,2.13,4.11,1.7,0.78,1.8,1.56,1.5,2.69,1.31,2.8,1,0.44,1.18,2.05,3.88,1.25,1.91,2.89,1.3,3.7,0.8,4.91,2.98,1.75,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.01,2.17,2.8,6.9,3.15,2.48,2.97,3.92,2.69,2.06,3.58,2.7,2.8,3.5,1.2,0.41,1.27,2.8,0.48,1.74,2.25,1.9,3.13,1.21,1.6,2,2.6,1.89,2.41,5.16,1.55,1.75,2.78,1.8,0.57,0.4,1.48,0.29,2.53,1.25,2.8,0.48,2.75,1.95,2.65,2.67,3.24,3.69,1.24,3.2,3,2.3,2.45,1.25,1.5,1,1.72,2.8,1.1,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.35,3,1.9,2.5,1.85,3.89,2,1.34,3.94,3.21,1.21,2.75,2.7,0.65,2.15,3.2,3.34,5.68,0.34,0.73,1.65,2.8,3.58,2.8,3.34,3.26,1.22,4.57,0.76,5.79,3.4,3.2,3.73,4.25,4.41,0.88,2.87,1.8,5.65,3.66,2.27,2.67,1,2.5,2.08,4.58,4.18,1.68,1.41,1.6,3.09,1.65,2.5,5,1.3,1.49,1.9,3.15,3.42,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.06,4.25,4.3,3.32,1.34,2.84,3.54,2.26,2.2,0.77,2.45,3.65,3.7,3.47,0.8,3.41,2.73,2.64,4.3,0.76,1.29,2.56,3.28,4.53,4.87,1.13,3.4,8.33,4.02,2.44,0.4,5.65,1.44,3.3,2.3,2.45,0.74,1.69,1.8,5.05,3.4,4.4,4.52,2.9,3.5,4.37,1.76,3.92,3.5,0.73,4.68,3.6,1.6,2.05,4.7,2.35,5.1,4.4,1.56,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.64,1.4,2.2,1.82,0.87,0.44,5.15,4.65,2,1.72,0.8,4.3,2.1,2.65,3.4,0.55,2.45,1.53,3.27,4.33,1.84,2.55,5.8,4.46,1.75,2.67,4.02,1.25,2.8,1.65,2.77,3.45,1.77,2.25,2.23,2.4,2.42,4.21,0.51,0.8,2.17,4.01,1.01,1.36,0.3,0.82,3.75,1.52,2.04,4.03,2.06,1.06,1.54,2,1.8,1.75,0.85,1.06,2.47,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.13,1.02,2.18,3.26,1.44,2.6,0.71,1.2,4.07,3.44,2.85,1.5,-999,2.19,6.9,3.96,1.23,1.5,2.13,1.48,1.76,2.45,3.38,3.07,2.42,2.34,2.32,2.5,1.79,0.92,3.2,1.95,2.65,2.03,1.1,1.3,3.58,1.33,1.1,3.4,2.49,1.73,3.36,2.8,3,3.18,3.5,1.17,3.3,1,4.01,1.84,1.3,5.8,0.9,2,5.8,7.53,1.35,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
