CHOLSEY (SEWAGE WORKS),,,,,,,,,,,,
Grid ref,SU590872,Long,-1.149922,Lat,51.580581,,,,,,,
Station no,816/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.62,3.23,3.37,2.68,,
February,,,,,,,3.05,2.66,0.16,1.83,,
March,,,,,,,1.27,1.18,2.94,1.05,,
April,,,,,,,0.19,1.02,2.88,0.60,,
May,,,,,,,1.55,1.81,0.35,1.97,,
June,,,,,,,2.84,3.56,1.04,2.89,,
July,,,,,,,4.48,2.86,2.69,2.92,,
August,,,,,,,3.04,3.95,2.29,3.09,,
September,,,,,,,2.87,3.31,0.04,3.03,,
October,,,,,,1.49,1.45,2.73,1.69,6.10,,
November,,,,,,0.61,1.75,2.42,2.21,3.17,,
December,,,,,,2.99,2.69,3.00,4.20,3.93,,
Total,,,,,,,26.80,31.73,23.86,33.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,5.09,26.80,31.73,23.86,33.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,,
