"LOUGH COWEY (WATERWORKS)",,,,,,,,,,,,
Grid ref,IJ596545,Long,-5.541981,Lat,54.414148,,,,,,,
Station no,6199/5/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.11,3.33,4.14,4.14,3.50,1.98,3.67,,
February,,,,3.47,2.88,0.99,2.55,3.30,0.93,2.76,,
March,,,,3.98,1.33,1.56,3.71,1.68,2.54,2.37,,
April,,,,1.01,1.56,0.69,0.85,0.85,2.00,3.03,,
May,,,,3.02,2.15,0.81,1.97,3.30,1.46,2.21,,
June,,,,2.30,4.07,2.15,0.60,4.61,2.03,1.55,,
July,,,,2.12,1.24,4.35,2.69,3.75,1.34,4.86,,
August,,,,2.83,1.37,6.81,2.91,4.71,0.74,4.14,,
September,,,,4.23,2.52,3.94,3.79,5.47,2.00,2.77,,
October,,,,5.38,1.87,1.74,3.51,1.82,3.24,4.07,,
November,,,,6.33,2.89,1.32,1.49,1.78,3.68,5.64,,
December,,,,3.55,4.38,4.15,5.24,5.83,4.84,2.46,,
Total,,,,40.33,29.59,32.65,33.45,40.60,26.78,39.53,,
Calc annual,0.00,0.00,0.00,40.33,29.59,32.65,33.45,40.60,26.78,39.53,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
