BORROWDALE (STOCKLEY BRIDGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY233110,Long,-3.185516,Lat,54.488517,Elevation,585,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3626/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,30,16.75,22.25,13.85,16.25,22.75,22,16,2.9,4.5,8.75,21,26,11.5,22,15,22.25,15.75,13.5,14,14.75,10.5,,14,8.25,20.5,16.25,11,18
February,,0,17.75,3,26.5,6.25,20.25,4.75,22,8,17.5,,13.25,6,18,12,2.5,10.5,13.5,15.75,14,5.25,8.5,,3.7,3.5,10.25,16,7.25,13
March,,9.75,9.75,8,3.75,9.5,4.25,11.5,11,16.25,5.25,,6,2.25,12.5,8.5,9,14.5,7.25,12.75,13,9,3.25,10.75,4.05,5.5,11.75,4.25,9.25,6
April,,11.75,5.5,6.75,8.75,2.5,8.75,1.75,6.75,5.5,7,7.25,9,6.25,3.75,4.75,16.5,6.25,19.5,12.75,9.25,9,7.75,4.25,8,3,4.25,5.75,12,14
May,,8,4.75,12,1,2,3,12,1.9,2.1,8.75,9.25,10.75,8,13.25,2.75,5,6,6.5,3.75,2.75,8.25,4.25,5.75,10,11,5.75,12,2.5,5.5
June,,5.5,4.5,6.5,9.5,8,10.75,14.25,12.5,1.8,1.15,2,8.5,14,10,14,6.5,16.5,2.5,10.5,4.5,9,5.5,16.25,11.5,4.5,4.5,6.75,5.5,7.5
July,,11.5,10.5,4.25,7.75,16,8.5,24.25,16.75,13.25,4,12.25,9.25,6,8.75,13.5,8,10.5,6.5,10.5,14,8.5,22,15.5,6,12.5,13.5,10,13.25,14.5
August,,7.25,7.5,17.75,8.5,5.5,6.75,8.75,4,8.25,16.5,14.5,22,12.5,3.25,14.5,0,14.25,9.5,19.75,14.75,21,11.75,13.75,5,17.75,13.75,10.75,1.5,7
September,,17.75,2.25,17.75,20,15,12,8,5.75,13.75,3,18.75,15.5,14.5,13.5,26,13.25,20,6,34,20.75,11,29.5,21.5,10.5,7.5,15,11.25,2.5,7.75
October,,,9.25,22.5,23.25,15.75,6.75,30,5,16,15,21.75,17,12.75,13,1,2.75,14.5,13.25,12.5,2.25,11.25,9,31.25,10.75,14,20.5,19,19,6
November,,10.5,3.25,6,14.75,17.75,4.25,21.25,27,14.75,10.25,4.25,10.75,23.5,1.25,27.5,28.5,16.5,21,12.75,26.25,5,27.5,,5.5,7.5,6,4.25,20,27
December,,27.5,4.25,22,8.25,22,8.25,11.5,5.25,17.25,10,22.25,6.5,12.25,10.5,18.5,11,14.25,25.5,7,25,11.25,9.5,19.25,22.75,22,20.5,11,31,16
Total,,,96,148.75,145.85,136.5,116.25,170,133.9,119.8,102.9,,149.5,144,119.25,165,118,166,146.75,165.5,160.5,123.25,149,,111.75,117,146.25,127.25,134.75,142.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Oct estimated from other stations therefore omitted.total estimated as 161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb/Mar estimated from nearby stations therefore omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total estimated as 139.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Jan-Feb frozen and Nov overflowed so estimated - omitted here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total estimated as 189.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
