"BORROWDALE (STOCKLEY BRIDGE)",,,,,,,,,,,,
Grid ref,NY233110,Long,-3.185516,Lat,54.488517,,,,,,,
Station no,3626/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,14.00,14.75,10.50,12.00,14.00,8.25,20.50,16.25,11.00,18.00,,
February,14.00,5.25,8.50,10.50,3.70,3.50,10.25,16.00,7.25,13.00,,
March,13.00,9.00,3.25,10.75,4.05,5.50,11.75,4.25,9.25,6.00,,
April,9.25,9.00,7.75,4.25,8.00,3.00,4.25,5.75,12.00,14.00,,
May,2.75,8.25,4.25,5.75,10.00,11.00,5.75,12.00,2.50,5.50,,
June,4.50,9.00,5.50,16.25,11.50,4.50,4.50,6.75,5.50,7.50,,
July,14.00,8.50,22.00,15.50,6.00,12.50,13.50,10.00,13.25,14.50,,
August,14.75,21.00,11.75,13.75,5.00,17.75,13.75,10.75,1.50,7.00,,
September,20.75,11.00,29.50,21.50,10.50,7.50,15.00,11.25,2.50,7.75,,
October,2.25,11.25,9.00,31.25,10.75,14.00,20.50,19.00,19.00,6.00,,
November,26.25,5.00,27.50,28.50,5.50,7.50,6.00,4.25,20.00,27.00,,
December,25.00,11.25,9.50,19.25,22.75,22.00,20.50,11.00,31.00,16.00,,
Total,160.50,123.25,149.00,189.25,111.75,117.00,146.25,127.25,134.75,142.25,,
Calc annual,160.50,123.25,149.00,189.25,111.75,117.00,146.25,127.25,134.75,142.25,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
