[LUTTERWORTH] WILLEY RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SP485834,Long,-1.287847,Lat,52.446418,Elevation,350,ft,,,,,,,,,,,,
Station no,RR4710,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.83,2.55,3.21,1.9,3.68,1.72,2.15,0.41,0.84,2.12,2.78,2.16,1.92,2.86,3.25,1.02,
February,,,,1.31,1.96,1.57,3.36,2.07,1.62,2.95,2.84,3.84,1.92,3.46,1.01,2.63,0.47,0.6,1.56,
March,,,,2.2,1.06,1.07,2.42,1.87,0.9,0.97,1.75,1.84,1.46,1.23,1.86,0.81,2.38,1.76,2.29,
April,,,,0.49,1.19,1.57,3.89,2.71,1.94,2.46,1.6,0.6,3.15,1.83,2,2.55,1.9,1.32,2.3,
May,,,,2.61,2.56,1.99,0.6,2.43,5.79,2.92,1.56,1.25,1.8,2.28,1.42,2.43,5.13,2.1,1.04,
June,,,,3.28,0.58,3.8,2.74,1.18,2.45,5.13,3.57,2.33,4.44,4.91,2.07,2.21,0.9,1.56,2.4,
July,,,,2.28,0.98,7.11,1.12,2.98,0.8,4.09,7.58,2.16,3.19,3.65,5.66,0.09,2.93,0.73,6.23,
August,,,,2.74,2.56,2.08,2.01,3.49,4.76,4.65,1.25,5.36,1.81,1.13,2.88,3.25,1.46,1.15,2.66,
September,,,,1.6,3.06,3.64,4.67,1.82,2.8,3.6,5.22,2.29,2.95,4.45,1.29,2.74,2.03,2.88,1.4,
October,,,,2.08,2.84,5.63,1.83,1.88,3.11,0.83,5.05,2.94,5.78,2.42,1.8,4.58,4.95,2.25,0.74,
November,,,,1.8,2.58,4.12,3.19,2.92,3.29,1.36,2.08,2.77,4.02,4.14,1.56,3.73,2.38,2.29,3.4,
December,,,3.62,0.56,1.84,1.25,5.21,2.02,2.09,0.75,3.11,2.69,3.49,0.92,2.52,0.78,3.54,1.64,2.2,
Total,,,,22.78,23.76,37.04,32.94,29.05,31.27,31.86,36.02,28.91,36.13,33.2,26.23,27.72,30.93,21.53,27.24,
