SUTTON-GREEN-PYLE-HILL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU999551,Long,-0.56886699,Lat,51.286286,Elevation,140,ft.,,,,,,,,,,,,,
Station no,215,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.77,3.43,1.73,3.23,1.19,3.34,1.33,1.67,1.6,,,,,,,
February,,,,,,3.85,2.04,4.54,1.63,0.43,0.71,1.66,0.2,3.13,,,,,,,
March,,,,,,0.69,0.27,3.1,1.97,0.02,1.16,0.28,1.12,2.82,,,,,,,
April,,,,,,2.46,2.94,1.83,2.12,0.77,1.86,4.07,2.21,0.65,,,,,,,
May,,,,,,2.34,1.47,1.07,1.92,2.58,2.63,2.97,3.93,2.82,,,,,,,
June,,,,,,0.02,3.51,2.96,2.31,1.44,1.47,1.95,0.93,1.75,,,,,,,
July,,,,,,3.22,1.9,2.32,2.22,1.26,2.16,3.98,2.56,1.53,,,,,,,
August,,,,,,3.05,1.05,2.97,2.54,2.07,2.69,3.97,0.81,1.28,,,,,,,
September,,,,,,2.72,1.42,4.62,1.27,0.14,2.71,1.8,2.26,2.38,,,,,,,
October,,,,,,2.85,2.4,1.39,4.36,3.11,1.05,0.62,4.32,1.96,,,,,,,
November,,,,,,1.76,4.94,3.39,1.54,5.6,4.5,2.32,0.77,0.93,,,,,,,
December,,,,,,2.95,0.27,4.08,2.35,5.34,1.87,,0.38,0.94,,,,,,,
Total,,,,,,27.68,25.64,34,27.46,23.95,26.15,,21.16,21.79,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is the long/lat on 1920s record. Altitude and relationships to church and station match,,,,,,,,,,,,,,,,,,,,,
