DEDHAM LOWER PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM056328,Long,0.9914,Lat,51.9562,Elevation,49,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.9,1.21,1.08,3.31,1.82,0.98,2.24,0.86,4.11,1.71,2.41,0.12,1.1,1.18,1.87,1.72,1.55,2.48,1.44,1.22,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.73,0.79,2.1,0.79,1.42,0.78,0.79,2.46,2.16,1.27,3.31,1.73,2.39,0.92,2.57,1.19,2.93,0.21,0.5,1.41,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.91,1.92,0.97,2.89,1.8,0.46,0.59,2.84,2.94,1.09,1.12,0.9,1.64,1.26,1.24,1.43,1.24,1.33,1.35,2.57,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,0.63,0.45,2.96,1.23,0.62,1.41,1.31,1.7,2.18,1.41,2.64,1.35,1.27,3.23,1.13,1.07,1.34,1.4,1.38,1.35,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.71,0.95,0.83,3.36,1.5,0.71,2.65,1.04,1.87,5.49,1.88,0.29,1.37,1.16,1.89,0.45,2.64,2.78,1.84,0.81,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.66,0.58,2.3,3.19,1.94,1.33,2.49,1.88,0.72,0.92,3.16,2.54,2.18,2.51,2.03,1.02,1.49,0.52,0.27,1.76,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.72,1.39,3,2.69,1.86,0.59,4.04,0.69,3.5,0.05,4.22,2.99,1.31,3.09,1.75,1.75,1.16,2.85,1.27,4.01,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.26,1.38,0.8,2.59,1.38,0.68,0.56,1.74,2.84,2.42,3.31,1.09,3.62,2.17,0.35,0.7,0.55,1.33,1.81,2.44,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.99,1.98,4.16,1.99,2.16,2.49,2.35,3.29,1.03,1.21,3.34,2.37,2.03,2.56,2.7,3.39,6.04,1.24,2.22,1.24,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.92,3.23,0.65,2.99,2.44,2,3.16,0.95,1.59,1.82,0.7,6.19,2.75,4.52,2.5,1.79,3.82,3.38,1.86,1.12,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
