NEWBURY WELFORD PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU408731,Long,-1.41419,Lat,51.455417,Elevation,341,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,5.21,1.51,3.27,0.47,2.18,1.66,2.92,3.14,2.6,4.38,3.64,0.9,0.96,3.4,1.95,0.9,2.03,2.62,3.42,0.89,2.38,0.77,4.43,3.4,1.74,0.99,3.57,4.8,0.67,5.55,0.71,1.95,1.04,2.98,1.43,4.25,4.15,0.78,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.75,1.82,4.3,3.99,3.62,2.02,5.04,1.97,3.62,0.87,0.7,1.77,2.64,0.91,0.06,1.36,4.76,2.42,0.15,0.48,3.16,2.19,3.21,4.92,1.89,1.45,1.82,3.87,1.01,2.55,1.7,1.56,0.69,4.54,1.97,2.69,1.38,4.29,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.75,0.89,0.62,1.84,2.16,1.59,0.9,1.92,1.59,1.64,2.49,3.73,2.38,1.31,2.2,0.83,0.22,1.88,2.29,3.55,4.56,1.13,0.75,1.24,1.98,2.08,4.7,1.65,5.77,2.02,1.23,4.57,4.11,1.62,2.32,5.45,3.5,5.77,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.4,3.04,3.02,2.07,0.78,4.93,1.22,2.19,1.98,2.13,1.43,2.54,2.77,1.77,1.11,0.91,0.01,2.47,1.91,0.72,1.92,2.31,3.21,1.05,2.65,1.65,3.12,1.42,2.49,1.02,3.79,4.74,2.09,2.67,1.53,0.02,4.43,1.02,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.84,4,3.31,0.62,1.24,2.15,2.17,1.25,2.29,4.48,1.83,1.65,2.86,1.96,2.8,1.64,0.98,2.75,0.73,0.45,1.11,3.64,2.45,1.57,1.27,3.15,3.88,3.38,0.66,1.79,2.14,2.57,1.6,2.28,1.18,1.93,2.73,1.97,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.3,2.67,4.74,3.82,1.99,3.53,2.3,3.17,1.57,1.41,1.33,2.21,1.99,1.88,0.85,1.81,0.99,2.89,0.52,2.42,2.35,1.77,1.98,3.58,1.84,3.38,6.2,0.95,4.74,3.03,3.8,1.02,3.26,5.1,1.18,3.31,0.41,1.66,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.09,1.8,4,5.11,1.66,3.04,3.33,2.11,0.32,3.13,1.18,5.11,4.41,3.78,3.14,2.72,3.34,4.36,4.42,0.78,1.51,0.62,0.29,1.45,3.89,0.94,2.97,2.42,0.97,0.68,2.35,2.52,2.43,2.29,0.03,2.54,2.43,2.97,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,4.03,4.23,6.8,0.62,6.22,2.48,0.87,1.09,0.85,1.16,1.25,1.99,2.65,2.85,5.91,4.18,1.4,2.33,2.9,3.53,2.87,0.96,1.27,3.05,2.19,3.39,4.05,3.06,3.55,0.9,2.02,4.14,1.58,2.93,0.79,5.62,1.1,2.13,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.85,1.05,3.51,4.22,1.9,2.65,4.12,1.62,3.82,2.08,2.98,1.56,1.37,1.74,1.87,3.08,1.21,3.17,1.57,6.06,3.88,0.87,2.62,0.7,2.41,2.07,2.38,1.58,1.8,1.05,0.81,3.11,3.87,0.37,0.98,1.84,2.27,0.42,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.93,3.12,0.87,5.55,1.99,7.17,1.86,1.23,3.88,3.9,1.94,1.55,3.34,1.18,8.75,3.68,3.23,3.97,3.72,3.53,1.22,5.32,2.6,2.41,1.45,2.22,8.72,1.65,2.42,5.48,7.53,1.33,5.81,5.58,2.53,4.22,4.68,3.38,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,5.99,3.23,0.76,2.59,3.75,4.32,3.25,1.36,4.74,3.19,3.68,5.69,1.19,2.02,3.25,2.32,2.5,6.2,5.69,1.03,0.92,3.84,3.41,2.6,0.9,3.83,2.23,2.22,4.72,5.2,3.22,1.34,2.03,4.85,3.92,2.67,3.23,4.74,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,2.16,1.51,1.17,3.44,3.35,3.48,0.71,2.51,1.07,5.4,2.01,2.51,1.88,0.95,6.04,0.94,3.25,2.87,2.23,4.29,4.72,3.02,1.89,4.74,5.5,2.31,2.21,2.56,1.34,2.59,5.93,2.68,5.01,5.59,9.21,4.5,1.47,8.79,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,37.3,28.87,36.37,34.34,30.84,39.02,28.69,23.56,28.33,33.77,24.46,31.21,28.44,23.75,37.93,24.37,23.92,37.93,29.55,27.73,30.6,26.44,28.11,30.71,27.71,27.46,45.85,29.56,30.14,31.86,35.23,31.53,33.52,40.8,27.07,39.04,31.78,37.92,42.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
