NEWBURY WELFORD PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU408731,Long,-1.41419,Lat,51.455417,Elevation,335,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,0.22,2.32,4.33,1.36,3.8,4.69,3.37,5.03,4.65,1.86,2.48,6.11,4.73,2.72,4.88,1.94,5.5,1.54,3.29,0.47,2.19,1.67,2.94,3.16,2.67,4.39,3.65,0.89,0.94,3.32,1.94,0.9,2.05,2.65,3.36,0.89,2.35,0.76,4.33,3.33,1.68,0.93,3.51,4.55,,,,,
February,1.62,1.83,0.27,0.86,1.33,1.86,4.13,2.12,1.78,2.79,2.4,1.22,2.34,1.79,2.61,2.26,3.02,1.79,1.82,4.33,4.12,3.63,2.05,5.12,2,3.74,0.85,0.7,1.77,2.62,0.89,0.06,1.36,4.86,2.39,0.15,0.47,3.1,2.12,3.11,4.83,1.85,1.37,1.77,3.72,,,,,
March,2,1.59,5.78,0.75,3.81,1.15,2.15,2.93,1.79,1.81,1.99,1.53,2.53,2.88,0.76,1.27,4.33,2.83,0.89,0.62,1.81,2.18,1.58,0.91,1.94,1.58,1.65,2.48,3.69,2.32,1.27,2.19,0.83,0.22,1.84,2.25,3.49,4.51,1.1,0.72,1.21,1.94,1.96,4.49,1.56,,,,,
April,1.35,2.01,3.07,1.3,1.9,0.76,2.2,3.3,2.46,1.28,0.54,3.41,2.66,0.98,1.53,1.77,4.17,3.46,3.06,3.02,2.04,0.78,4.95,1.22,2.17,2.01,2.12,1.43,2.53,2.79,1.73,1.11,0.92,0.01,2.51,1.91,0.72,1.89,2.25,3.16,1,2.63,1.53,3.06,1.35,,,,,
May,2.7,1.19,3.33,1.81,1.79,2.57,0.82,2.29,1.16,3.61,1.34,0.42,3.21,2.02,1.12,2.74,1.08,2.87,4.05,3.33,0.62,1.25,2.17,2.19,1.27,2.33,4.46,1.83,1.64,2.83,1.93,2.76,1.64,1.01,2.8,0.73,0.45,1.11,3.62,2.43,1.57,1.26,3.04,3.77,3.22,,,,,
June,4.55,3.16,3.01,4.69,1.18,1.94,2.34,2.02,0.53,1.31,0.27,2.79,2.49,1.62,1.3,4.21,2.24,1.32,2.72,4.8,3.84,1.99,3.57,2.31,3.16,1.56,1.41,1.31,2.21,1.93,1.87,0.85,1.81,1.01,2.92,0.51,2.42,2.32,1.77,1.94,3.59,1.83,3.35,6,0.93,,,,,
July,2.3,4.53,1.85,0.7,0.59,1.97,2.3,3.59,1.63,0.69,0.61,4.73,3.1,1.69,0.93,4.95,0.73,3.18,1.81,4.02,5.13,1.67,3.06,3.36,2.12,0.32,3.13,1.18,5.07,4.33,3.78,3.1,2.74,3.36,4.39,4.34,0.78,1.51,0.63,0.29,1.47,3.82,0.93,2.83,2.38,,,,,
August,4.06,1.08,0.24,3.28,0.53,3.47,2.46,1.78,4.15,1.53,2.64,1,1.85,4.01,2.09,1.3,2.89,4.11,4.23,6.81,0.62,6.25,2.5,0.9,1.08,0.85,1.15,1.24,1.99,2.63,2.82,5.89,4.16,1.43,2.35,2.83,3.48,2.84,0.96,1.25,3.03,2.17,3.39,3.9,3.01,,,,,
September,4,2.89,1.49,2.73,2.17,0.19,6.62,1.95,4.56,4.6,1.43,5.04,1.18,2.09,3.33,2.45,6.55,2.92,1.06,3.5,4.26,1.93,2.64,4.13,1.63,3.84,2.08,2.97,1.56,1.32,1.72,1.86,3.08,1.23,3.12,1.56,6.04,3.76,0.84,2.56,0.68,2.36,2.07,2.27,1.51,,,,,
October,1.76,1.64,3.99,4.16,2.41,6.14,1.87,3.18,2.49,1.45,3.83,1.61,4.3,2.38,4,6.32,1.39,1.97,3.13,0.87,5.53,2,7.15,1.86,1.23,3.81,3.89,1.94,1.55,3.22,1.17,8.53,3.65,3.24,4.04,3.68,3.46,1.19,5.34,2.48,2.43,1.39,2.2,8.35,1.6,,,,,
November,1.27,2.42,0.84,1.91,2.25,3.86,1.59,0.94,1.73,2.48,2.02,0.43,4.22,2.72,2.34,4.55,3.52,5.96,3.23,0.76,2.57,3.77,4.36,3.26,1.38,4.8,3.22,3.66,5.6,1.15,1.93,3.16,2.34,2.48,6.29,5.55,1.03,0.92,3.73,3.31,2.58,0.85,3.81,2.05,2.11,,,,,
December,3.43,2.4,2.02,1.48,1.56,1.98,2.63,1.62,5.69,3.86,2.36,2.07,5.31,0.54,2.06,1.74,5.71,2.17,1.52,1.17,3.44,3.37,3.53,0.71,2.54,1.07,5.46,1.97,2.46,1.87,0.95,5.81,0.94,3.34,2.85,2.2,4.18,4.56,2.94,1.87,4.57,5.29,2.19,2.05,2.43,,,,,
Total,,24.96,28.21,28,20.88,29.69,33.8,29.09,33,30.06,21.29,26.73,39.3,27.45,24.79,38.44,37.57,38.08,29.06,36.52,34.45,31.01,39.23,28.91,23.68,28.58,33.81,24.36,30.96,27.95,23.38,37.26,24.37,24.24,38.15,29.07,27.41,30.06,26.06,27.45,30.29,27.07,26.77,44.05,28.37,,,,,
