HORNDON-EASTERN-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ606867,Long,0.315233,Lat,51.556325,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.11,1.44,0.96,2.38,0.95,1.66,1.07,0.8,0.95,1.16,1.03,3.16,2.81,1.93,3.78,1.59,1.79,1.72,3.86,0.91,1.21,0.98,1.72,2.53,0.84,1.32,1.6,1.36,0.9,1.18,2.23,3.31,0.97,1.39,1.85,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.98,2.68,2.8,1.12,0.34,0.48,1.57,0.17,0.76,0.27,1.55,1.33,3.46,0.45,0.94,1.15,1.22,0.81,1.01,0.75,1.16,1.66,1.12,1.02,0.45,3.07,4.7,0.83,1.42,2.04,1.32,0.28,2.68,2.55,0.05,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.82,0.09,1.68,1.73,0.02,1.03,0.18,1.05,1.09,1.89,0.32,0.94,2.33,0.36,1.38,2.68,2.13,2.37,0.27,0.17,0.97,1.11,4.45,0.56,0.72,0.36,2.52,2.93,0.41,1.73,1.02,0.99,1.31,0.96,1.24,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.61,4.16,1.66,1.19,0.96,1.43,3.43,1.4,0.76,1.33,2.92,1.24,2.19,0.17,1.99,1.55,1.91,0.49,0.97,1.37,0.81,1.34,1.03,1.3,1.14,1.77,2.48,0.64,2.11,0.36,0.15,1.24,0.19,1.7,1.88,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.66,0.85,1.15,2.22,1.24,2.61,2.76,2.73,1.93,0.37,1.17,0.34,2.37,1.31,1.71,1.59,1.4,1.95,0.97,0.42,2.82,2.52,0.6,1.28,2.07,1.18,2.1,1.17,1.29,1.51,4.05,0.44,1.07,2.08,0.92,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.23,3.21,2.51,2.45,1.02,0.7,1.39,0.7,3.26,1.09,2.33,3.22,2.06,0.48,0.88,0.38,0.72,0.26,1.4,1.57,1.02,2.59,1.79,2.01,0.5,0.94,0.89,2.59,1.57,2.68,3.43,1.63,1,4.57,0.95,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.68,2.2,2.41,1.74,2.12,2.26,2.69,2.07,1.61,0.68,0.46,4.1,2.7,1.44,3.28,3.33,2.26,1.74,1.19,1.57,2.84,1.08,2.81,0.78,2.1,2.26,2.07,0.73,2.82,2.31,0.08,3.47,3.95,2.29,1.97,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.15,1.23,3.16,2.84,1.77,2.2,2.58,1.46,0.52,1.98,2.26,0.38,0.6,1.73,3.57,0.08,3.58,1.89,1.09,3.21,1.75,3.2,0.21,3.53,1.53,1.36,2.38,1.61,1.36,3.1,0.53,2.58,1.74,4.1,0.95,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.13,0.65,3.91,0.44,0.09,2.28,1.54,1.63,2.76,1.07,2.17,2.32,1.22,2.27,0.88,1.16,0.37,1.31,1.94,2.74,0.72,1.76,1.36,0.76,1,2.31,2.83,3.25,2.11,1.49,3.18,1.67,2.09,6.04,0.07,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,2.5,2.25,1.08,2.73,2.23,0.97,0.56,4.35,1.14,1.85,1.74,1.4,1.23,2.18,6.07,2.13,0.88,3.08,1.91,3.04,1.44,1.03,0.09,1.58,5.05,0.21,0.58,2.13,2.67,1.51,3.68,1.19,1.46,2.56,1.95,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,1.27,3.67,2.12,1.82,4.06,3.48,1.59,0.59,0.8,1.57,3.68,2.94,1.45,2.23,3.14,5.68,2.22,1.87,1.35,2.87,0.25,1.96,0.7,1.62,1.97,4.28,3.56,4.06,0.51,2.77,0.57,0.54,2.37,1.75,3.04,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,2.23,0.57,2.16,2.74,2.84,1.54,0.59,0.28,0.52,3.32,2.01,1.31,3.76,2.19,0.93,1.08,1.38,1.81,1.38,0.93,2.35,1.73,2.11,1.62,1.16,0.87,1.77,1.91,0.59,1.31,1.5,2.36,1.57,2.96,3.2,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,21.37,23,25.6,23.4,17.64,20.64,19.95,17.23,16.1,16.58,21.64,22.68,26.18,16.74,28.55,22.4,19.86,19.3,17.34,19.55,17.34,20.96,17.99,18.59,18.53,19.93,27.48,23.21,17.76,21.99,21.74,19.7,20.4,32.95,18.07,28.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
