STONE-IDLEROCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ932374,Long,-2.1026146,Lat,52.933956,Elevation,740,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.79,3.44,3.28,3.65,2.58,2.46,2.42,3.92,2.61,6.3,2.19,4.03,2.47,3.25,1.82,2.39,1.23,,,,,
February,,,,,,,,,,1.61,2.95,0.24,2.6,4.8,1.14,4.07,3.43,1.96,3.26,0.68,0.46,3.94,0.23,3.92,0.28,2.05,,,,,
March,,,,,,,,,,5.24,3.75,1.29,2.51,1.75,1.16,1.39,1.33,2.97,2.29,0.46,3.24,0.27,2.08,2.67,2.27,0.64,,,,,
April,,,,,,,,,,1.88,5.87,1.27,1.94,2.34,3.26,2.03,1.88,2.92,2.12,0.71,2.7,3.91,3.75,1.37,1.8,2.25,,,,,
May,,,,,,,,,,1.31,3.9,2.05,0.95,3.82,5.72,7.31,3.54,2.04,0.63,2.08,2.28,4.25,5.98,1.13,0.87,0.75,,,,,
June,,,,,,,,,,2.2,4.3,0.78,1.09,1.03,2.84,0.08,3.02,5.86,5.11,1.55,1.71,5.21,0.72,2.52,0.95,4.29,,,,,
July,,,,,,,,,,2.82,6.13,0.66,4.3,5.06,5.64,2.35,2.46,5.54,1.98,2.39,7.83,4.06,3.02,3.01,1.15,0.27,,,,,
August,,,,,,,,,,2.72,2.01,4.41,5.16,4.08,6.75,2.54,2.99,5.33,4.43,3.2,3.48,6.89,2.23,0.55,3.28,1.2,,,,,
September,,,,,,,,,,2.82,2.8,1.01,3.9,3.26,4.51,4.93,1.37,4.2,1.47,1.19,3.56,4.3,2.14,1.66,2.21,,,,,,
October,,,,,,,,,,3.22,2.37,2.26,0.29,3.58,4.54,4.84,3.27,2.22,4.92,4.07,3.79,0.96,6.07,4.91,2.74,,,,,,
November,,,,,,,,,,1.91,0.79,2.21,1.32,2.13,2.52,2.33,5.23,3.45,4.34,7.14,3.7,5.14,2.5,0.91,2.14,,,,,,
December,,,,,,,,,,5.92,2.68,2.43,4.13,5.44,3.41,2.42,0.98,1.82,3.14,4.79,3.28,1.74,1.13,0.33,4.02,,,,,,
Total,,,,,,,,,,35.44,40.99,21.89,31.84,39.87,43.95,36.71,33.42,40.92,39.99,30.45,40.06,43.14,33.1,24.8,24.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Idlerocks. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
