HURSTPIERPOINT-DANNY-PARK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,TQ284149 ,Long ,-0.174677,Lat ,50.919284,Elevation ,180,ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR1538 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January ,,,2.51,4.24,3.44,2,4.52,3.09,0.81,1.37,3.34,3.73,0.85,1.89,6.48,2.32,0.98,2.83,0.73,3.54,4.63,0.74,1.54,3.61,8.11,1.28,7.01,1.39,2.13,1.33,3.7,1.66,3.59,7.49,0.84,4.72,3.06,1.5,4.73,8.07
February ,,,1.42,4.9,1.84,5.6,0.77,1.05,0.93,2.59,1.32,0,1.28,3.68,2.26,0.28,0.14,3.82,1.07,2.94,4.5,1.61,2.43,1.29,3.97,0.51,4.02,2.21,1.35,0.53,6.83,2.16,3.92,1.74,6.99,7,5.59,1.4,1.44,2.95
March ,,,1.88,0.88,2.42,2.64,2.68,1.46,4.82,2.58,1.69,1.69,1.11,0.65,1.82,2.97,3.06,5.35,0.75,0.46,0.98,1.71,2.16,5.16,1.63,6.19,1.4,1.26,2.98,4.83,1.72,2.38,6.84,3.45,7.2,0.88,4.06,2.11,1.05,5.59
April ,,,3.15,1.8,1.39,1.11,2.12,1.38,1.36,1.92,2.89,0.37,1.31,0.04,2.9,2.39,0.36,2.42,1.3,1.88,1.49,2.42,1.12,2.9,1.67,2.04,1.16,4.66,2.53,1.25,2.1,2.11,0,4.08,2.35,1.68,0.81,1.81,4.14,3.01
May ,,,1.31,2.54,0.28,3.37,5.1,1.37,1.61,1.34,2.07,3.42,1.03,0.36,1.29,0,0.21,1.33,4.11,1.02,0.8,1.45,2.18,3.09,4.98,0.82,2.15,2.78,1.82,1.75,2.63,1.38,1.47,2.47,1.19,4.53,2.4,1.48,1.29,0.44
June ,,,1.95,1.3,1.46,1.08,0.49,0.98,3.48,0.61,2.66,1.59,2.47,1.21,2.08,0.43,2.56,2.48,2.33,1.75,2.84,1.45,3.93,3.75,1.15,4.68,2.21,2.71,1.7,2.78,5.37,2.51,3.9,1.31,1.81,0.51,3.61,3.43,1.97,0.96
July ,,,3.46,2.14,2.38,0.62,3,0.65,5.84,3.2,4.87,2.66,2.21,3.93,6.36,3.8,1.41,0.44,0.53,1.12,1.09,3.08,1.72,3.57,1.49,0.39,0.43,1.68,4.1,3.57,3.2,0.56,1.96,4.25,1.99,4.98,1.41,3.56,5.48,2.33
August ,,,2.17,1.33,0.67,1.4,1.83,2.49,2.41,3.28,3.3,5.47,2.77,0.63,2.7,3.21,0.96,3.56,1.37,0.6,3.53,2.04,5.33,5.06,2.34,3.11,2.01,2.1,5,3.22,4.28,0.74,9.16,2.03,0.91,1.89,2.03,7.66,2.32,3.58
September ,,,2.94,4.04,3.6,5.06,1.09,3.79,1.38,1.39,0.87,1.81,4.41,3.25,3.05,0.49,7.99,2.61,1.18,3.53,0.8,2.62,0.58,3.82,2.92,3.63,0.99,0.71,1.46,3.43,0.11,1.72,4.38,3.31,1.93,4.04,2.6,2.1,7.39,2.12
October ,,,8,3.52,1.55,5.53,4.33,1.47,1.97,7.46,1.31,8.32,5.72,5.87,4.07,4.43,5.63,0.47,4.32,2.17,1.81,3.76,3,9.29,2.35,2.54,6.47,6.88,1.9,10.96,4.03,6.57,4.57,6.44,3.07,4.33,7.33,7.76,2.38,0.79
November ,,,4.23,4.34,0.42,4.77,5.14,6.99,6.51,2.03,4.75,4.68,3.66,2.82,6.44,6.28,1.89,1.4,5.81,7.61,4.39,0.55,4.54,2.54,1.62,6.34,8.32,3.31,1.52,1.87,6.42,9.13,3.07,5.98,4.9,5.13,5.95,1.46,2.84,3.78
December ,,,2.48,1.1,6.38,1.58,5.56,3.08,2.73,2.01,0.36,4.7,2.82,,2.81,4.77,5.72,4.69,4.09,1.5,3.09,6.38,2.91,3,4.21,1.33,2.53,4.95,4.79,5.87,5.21,10.83,5.17,1.82,10.63,11.06,4.78,2.66,3.52,7.12
Total ,,,35.5,32.13,25.83,34.76,36.63,27.8,33.85,29.78,29.43,38.44,29.64,,42.26,31.37,30.91,31.4,27.59,28.12,29.95,27.81,31.44,47.08,36.44,32.86,38.7,34.64,31.28,41.39,45.6,41.75,48.03,44.37,43.81,50.75,43.63,36.93,38.55,40.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1893 - Gauge blown over so estimated, hence Dec & total removed. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
