BAMPTON (ATKINSON'S GRAIN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY456164,Long,-2.842322,Lat,54.539927,Elevation,2175,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3678/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,14.02,16.22,13.65,3.09,2.56,9.51,17.8,12,7.5,7.65,,17.16,6.48,6,6.46,7,3.33,7,8,5.6,17.5,11.65,7.35,11.15
February,,,,,,,12.35,5.83,14.87,3.19,7.64,2.99,7.5,1.68,8,5.15,,4.54,8,10,9,2.55,2.63,7.2,3.65,1.45,9.32,8.88,2.38,12.4
March,,,,,,,4,7.55,8.81,13.08,4.75,5.52,4.05,0.94,5.04,4.45,,7,1.64,6.15,5,5.2,1.38,6.4,2.75,3,7.73,2.05,7.15,2.75
April,,,,,,,5.53,1.05,3.36,3.17,2.8,7.75,6.83,3.72,3.71,1.85,13.33,3.05,8.33,2.12,7,4.85,5.9,1.22,2.3,1.85,1.5,2.9,8.28,7.6
May,,,,,,,3.41,6.4,1.32,2.64,4.31,9.15,8.38,2.46,4.5,1.79,3.52,3.26,3.63,2.78,2.2,3.93,4.67,5.6,7.8,3.1,4.25,6.96,1.55,3.35
June,,,,,,,3.74,9.4,6.62,1.3,0.35,1.37,6.75,7.5,4.6,6.35,4.05,8.45,1.4,2.88,2.2,4.9,3.6,4.1,4.4,4.55,1.42,6.49,6.25,4.15
July,,,,,,,3.67,12.25,10.66,8.16,2.72,6.04,4.95,5.23,3.95,5.6,4.92,4.51,3.28,6,4.2,3.55,8.2,3.76,2.75,6.85,6.23,6.1,5.15,6.54
August,,,,,,,4.1,5,3.86,3.39,14.25,7.1,10.97,4.4,2.58,8.15,0.16,11.16,3.89,8.85,9,8.5,6.2,6.59,2.7,12.3,7.65,6,1.75,4.31
September,,,,,,,7.5,4.35,3.38,9,2.21,12.1,11.6,8.25,6.68,12.83,5.75,8.15,1.31,,15,8.1,10.5,12.2,4.5,6.6,8,10.15,1.28,4.85
October,,,,,,,5.15,22.78,4.25,11.31,8.22,9.42,11.2,7.6,9.25,1.35,1.83,5.05,8.35,,1.15,10.6,5.3,18.5,5.6,5.6,10.1,8.36,9.34,6.44
November,,,,,,,1.9,17.45,16.1,11.4,9.09,2.15,4.95,15.25,0.69,17.2,10.38,6.18,10.15,6.55,17.1,4.6,12.7,18.6,5.1,2.5,3.32,1.14,10.15,20.55
December,,,,,,,5.05,10.3,4.84,7.45,5.95,13.1,5.2,6.92,5.25,8,2.53,12.15,9.16,2.28,18,6.1,5.4,11.25,11.7,11.35,9.84,7.05,17,10.2
Total,,,,,,,70.42,118.58,91.72,77.18,64.85,86.2,100.18,75.95,61.75,80.37,,90.66,65.62,,96.31,69.88,69.81,102.42,61.25,64.75,86.86,77.73,77.63,94.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Feb mistrans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Jan 11, Feb 2.4, Mar 9 estimated for snow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Sept 14.21 and Oct 7.12 apportioned and total estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951 Feb, Mar, Apr, Aug and Sept estimated but left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952 Jan, Feb, Mar part estimated for snow - left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
