LEYBURN - OVERDALE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE116901,Long,-1.823,Lat,54.306,Elevation,550,ft,,,,,,,,,,,,
Station no,3423/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,1.17,,4.16,4.22,6.53,1.97,4.09,3.75,3.95,1.69,3.66,2.71,2.56,6.98,1.09,-999.00,2.67,2.18,0.39,2.42
February,4.05,,4.67,1.16,2.09,2.26,5.49,2.23,1.71,1.94,2.81,2.16,4.57,1.93,1.73,-999.00,,0.23,3.47,2.79
March,0.89,,3.76,0.24,2.67,1.54,3.48,2.78,0.99,0.59,0.58,1.19,5.25,2.54,0.98,0.93,,1.24,0.51,1.79
April,2.43,,3.04,0.14,1.52,1.80,2.49,1.33,1.42,1.95,1.27,1.49,5.38,2.03,2.45,1.94,,1.08,2.13,0.34
May,0.84,1.73,3.31,3.00,0.98,1.98,1.40,2.53,3.20,1.32,2.52,3.01,1.76,1.19,1.06,1.52,6.83,1.58,1.75,3.62
June,2.79,7.13,1.50,2.55,1.97,0.20,0.44,0.76,2.25,2.02,2.32,1.91,2.82,2.90,0.82,0.77,1.22,0.97,2.65,1.59
July,0.44,4.35,1.96,3.04,2.94,3.59,1.74,2.21,1.09,2.49,1.96,2.38,1.54,1.19,2.14,2.89,1.11,0.61,2.03,2.67
August,1.95,1.59,1.25,2.87,3.20,0.39,1.89,1.73,4.17,1.29,3.73,5.29,0.23,3.20,3.00,4.45,,3.47,3.34,5.86
September,4.73,3.02,1.14,1.59,1.79,1.11,0.20,1.49,3.97,5.47,1.41,5.37,2.24,1.74,1.68,3.64,0.78,3.83,1.90,2.67
October,4.54,1.88,2.68,2.07,4.32,3.25,3.80,1.97,2.13,3.41,5.41,0.97,1.52,1.09,2.40,1.36,2.45,3.61,1.86,4.81
November,5.58,3.14,2.11,4.06,3.39,3.82,3.37,1.21,2.40,4.90,0.71,5.80,2.84,1.13,3.77,4.88,,1.74,1.71,5.74
December,2.03,3.70,3.61,4.57,1.26,2.80,0.89,2.89,1.85,3.15,1.58,2.75,2.43,2.89,3.91,1.39,,1.73,1.33,2.87
Total,31.44,,33.19,29.51,32.66,24.71,29.28,24.88,29.13,30.22,27.96,35.03,33.14,28.81,25.03,30.64,,22.27,23.07,37.17
,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/302,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/158,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/250,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# The readings for January-April 1936 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,
# The reading for January 1940 is estimated for snow and has been retained.,,,,,,,,,,,,,,,,,,,,
# The readings for January and February 1950 are apportioned.,,,,,,,,,,,,,,,,,,,,
"# The readings for February-April, August, November and December 1951 are estimates and have been omitted.",,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# The gauge and observer were previously at Cotescue Park.,,,,,,,,,,,,,,,,,,,,
