BRAY FASSAROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO2370517307,Long,-6.149667,Lat,53.192056,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.91,4.51,1.11,1.55,3.05,6.05,4.75,3.92,4.81,3.95,2.98,3.81,5.08,1.68,2.6,4.43,5.08,7.3,0.76,4.17,2.2,4.92,4.13,5.23,2.39,5,4.08,3.26,6.12,0.68,2.54,1.47,3.95,1.07,6.98,10.42,1.04,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.51,5.91,4.74,5.19,4,9.61,9.5,5.71,3.61,1.2,0.99,3.53,1.58,0.18,3.54,4.41,2.88,0.65,1.16,1.41,2.84,5.34,6.38,2.36,3.43,3.79,5.07,1.59,2.65,1.89,1.12,1.07,5.57,2.35,5.72,1.85,4.95,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.65,2.19,4.47,5.08,2.8,2.94,4.72,3.71,3.53,2.42,6.31,2.55,5.1,2.1,1.41,0.27,1.54,3.84,3.46,5.81,1.69,1.06,1.29,2.57,1.87,5.8,3.6,5.42,2.3,2.29,4.66,5.1,2.68,1.55,5.11,3.1,3.35,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,6.85,2.41,3.22,3.17,1.75,6.07,3.41,2.6,4.87,3.05,1.52,2.86,3.57,2.12,3.43,1.13,0.56,5.23,2.21,1.16,4.08,5.48,3.12,1.95,2.49,4.01,1.57,1.79,3.64,2.04,3.03,3.53,4.94,2.58,2.34,1.86,4.44,1.32,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,3.34,7.63,2.5,0.47,2.22,2.5,3.6,1.72,3.35,6.47,1.76,2.78,4.23,4.28,4.04,5.2,1.06,4.63,0.11,0.09,1.37,4.05,2.84,2.97,1.31,3.44,3.56,2.7,1.71,3.87,5.18,1.96,1.35,2.35,1.14,1.32,4.42,1.83,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.83,4.6,7.23,3.03,4.51,2.54,3.38,1.18,2.16,1.75,0.29,3.54,0.3,1.97,3.61,3.61,2.04,1.68,1.89,1.49,4.19,2.09,3.5,2.67,2.68,3.56,1.65,2.47,1.91,1.23,3.19,2.05,3.33,5.62,2.56,3.6,1.01,1.36,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.47,0.43,4.38,6.08,2.55,4.15,4.24,2.96,1.08,2.74,1.48,5.64,2.54,1.79,2.21,3.9,1.91,4.01,3.88,6.18,1.74,1.39,4.39,4.17,2.78,5.09,4.6,1.42,1.49,1.13,2.32,3.01,2.47,2.49,2.74,4.4,0.73,3.31,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,4.41,5.67,3.65,2,5.17,2.45,2.88,0.65,3.26,1.46,4.23,1.97,6.07,3,5.14,3.73,3.12,4.03,3.99,1.1,5.76,2.86,3.07,6.88,3.42,4.19,4.22,3.33,10.43,1.92,2.65,4.3,1.01,5.58,1.69,7.86,0.89,3.62,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,4.01,2.13,2.94,2.88,1.75,4.19,6.02,1.74,5.14,2.7,1.79,0.66,1.36,3.64,2.41,3.06,0.81,0.98,1.13,7.91,3.22,2,3.14,0.97,6.29,4.34,5.17,4.48,1.49,0.38,1.02,4.05,1.78,0.78,1.31,0.7,4.21,1.2,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,3.89,4.02,1.6,8.65,5.84,5.61,2.93,1.2,5.17,9.26,2.64,2.41,8.66,1.07,7.24,4.01,1.25,7.78,3.3,5.78,3.43,5.13,1.49,3.44,3.12,4.57,5.11,0.62,1.71,5.46,8.38,3.23,4.7,3.51,6.85,2.71,6.85,2.52,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,4.5,1.87,1.53,4.32,5.14,6.23,4.58,2.54,3.79,4.69,5.57,8.29,1,7.19,6.39,5.39,2.67,3.14,5.83,1.05,4.7,6.45,4.32,6.76,3.54,6.94,2.85,1.67,6.07,2.11,3.32,2.38,1.95,3.33,5.88,1.6,4.94,5.04,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,3.94,2.42,2.43,3.75,3.79,5.2,1.75,3.25,1.01,5.13,2.53,5.92,2.92,3.22,7.19,0.92,3.72,3.14,6.1,7.58,4.13,1.7,5.24,3.63,4.21,3.99,4.57,2.83,2.94,2.57,3.89,4.1,5.59,9.46,10.02,3,2.2,9.99,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,37.25,42.09,44.67,44.54,48.79,51.39,36.81,43.17,49.2,29.38,44.35,40.54,40.04,45.62,38.5,26.25,44.12,40.23,37.72,44.01,37.88,42.43,45.24,40,47.82,47.89,34.06,41.66,31.78,37.84,36.93,34.76,47.9,39.5,44.86,45.06,39.53,46.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1904 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
