BRAY FASSAROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO2370517307,Long,-6.149667,Lat,53.192056,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,4.69,6.96,0.85,5.01,1.03,1.37,3.3,10.27,4.37,6.54,6.14,3.09,4.03,4.28,4.35,4.09,6.53,4.2,3.79,4.97,4.37,2.56,5.03,0.69,7.78,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,2,0.57,2.05,2.27,1.71,2.9,3.08,1.65,10.42,3.26,0.58,1.22,4.29,3.23,3.12,1.9,2.19,3.36,3.98,4.97,1.35,3.67,3.11,4.8,1.81,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.8,0.67,1.04,1.7,4.7,2.61,2.77,2.95,5.54,4.34,3.31,4.12,1.83,4.99,6.58,3.13,3.69,3.15,1.72,2.88,3.24,1.23,1.7,3.12,2.71,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,4.57,0.52,0.51,4.47,6.56,9.51,5.78,1.49,2.37,3.49,0.74,0.46,1.85,3.4,2.65,2.62,1.75,0.65,3.47,3.25,0.53,1.57,1.07,2.33,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.03,1.98,3.33,4.52,1.39,2.66,0.91,2.74,0.17,2.76,1.26,1.38,4.82,0.96,5.17,1.42,8.22,2.27,0.32,2.48,0.84,1.7,1.65,0.81,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.7,3.77,1.25,1.46,3.99,1.54,2.38,9.73,2.8,4.01,2.05,1.63,0.79,5.31,0.8,1.43,1.25,0.48,3.08,3.25,1.04,0.89,2.47,1.42,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.81,1.37,2.41,1.08,1.32,3.96,1.87,2.74,5.77,3.23,1.4,0.41,4.42,0.91,4.05,1,0.72,0.46,4.11,1.4,3.13,1.21,3.25,0.68,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.53,1.34,3.08,4.22,1.78,2.02,2.91,6.47,3.53,2.53,3.2,1.38,4.46,2.5,1.11,6.55,0.76,2.2,1.24,3.79,4.18,4.81,1.49,3.12,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.92,1.02,1.26,5.15,2.22,3.35,4.36,2.26,4.97,3.01,2.26,2.01,0.09,4.22,2.29,4.98,4.76,2.64,4.46,3.13,2.46,1.96,5.36,5.24,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.94,2.84,4.57,4.14,2.71,3.82,1.82,5.58,3.11,4.39,8.07,7.24,5.38,4.18,3.13,1.85,2.44,8.64,3.48,5.04,3.28,3.6,8.9,6.65,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,4.07,3.71,2.01,0.73,2.63,3.04,5.22,4.01,4.76,2.91,2.74,5.62,6,1.78,0.63,3.65,2.49,2.19,1.81,6.51,2.77,4.31,5.45,6.89,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
