MATCHING-GREEN,,,,,,,,,,,,,,,,,,,,
Grid ref,TL537110,Long,0.22646416,Lat,51.776568,Elevation,250,ft,,,,,,,,,,,,
Station no,1238/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.31,4.08,2.84,4.68,1.63,2.09,2.03,,,,,,,,
February,,,,,,2.06,3.61,0.87,0.81,1.59,1.84,0.9,,,,,,,,
March,,,,,,1.1,3.03,0.52,1.54,2.32,2.91,1.85,,,,,,,,
April,,,,,,1.19,3.06,0.27,2.8,1.9,1.3,1.23,,,,,,,,
May,,,,,,0.32,2.88,2.19,1.33,0.79,1.44,2.36,,,,,,,,
June,,,,,,4.02,2.01,0.55,1.32,0.68,0.63,0.25,,,,,,,,
July,,,,,,4.72,2.82,1.77,2.49,3.39,2.36,1.99,,,,,,,,
August,,,,,,0.89,1.67,1.69,3.7,0.17,3.64,1.7,,,,,,,,
September,,,,,,2.03,1.64,2.79,1.68,0.87,0.46,1.6,,,,,,,,
October,,,,,,1.58,1.9,2.55,5.42,2.63,1.32,4.59,,,,,,,,
November,,,,,,3.06,1.81,3.23,3.96,6.32,2.61,2,,,,,,,,
December,,,,,,1.57,3.97,3.08,1.24,1.72,1.29,2.37,,,,,,,,
Total,,,,,,25.85,32.48,22.35,30.97,24.01,21.89,22.87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,
