"GONALSTON RECTORY",,,,,,,,,,,,
Grid ref,SK681475,Long,-0.986239,Lat,53.020473,,,,,,,
Station no,RR4396,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.37,1.32,0.96,1.84,2.34,0.79,3.07,1.00,,,,
February,4.24,1.53,2.08,0.90,2.58,0.70,2.28,1.45,,,,
March,0.62,1.99,1.47,3.27,1.56,2.29,1.73,1.39,,,,
April,0.99,1.42,2.02,2.13,1.05,1.56,0.39,1.89,,,,
May,1.54,1.03,2.68,3.52,1.67,0.55,1.88,2.95,,,,
June,2.79,1.81,1.61,1.42,0.59,2.82,1.84,3.20,,,,
July,1.81,2.77,1.25,1.96,3.47,1.25,0.37,2.33,,,,
August,4.68,1.58,4.08,5.53,2.09,3.61,1.12,2.03,,,,
September,0.83,1.09,1.02,2.81,1.74,1.80,0.99,0.80,,,,
October,2.14,1.43,2.45,6.23,0.39,1.18,4.87,4.00,,,,
November,2.59,2.07,1.48,1.70,1.12,2.65,2.92,1.89,,,,
December,4.10,5.50,1.67,0.79,1.62,0.68,2.94,3.03,,,,
Total,29.70,23.54,22.77,32.10,20.22,19.88,24.40,25.96,,,,
Calc annual,29.70,23.54,22.77,32.10,20.22,19.88,24.40,25.96,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,NaN,NaN,,
