"CUPAR (RANKEILLOUR)",,,,,,,,,,,,
Grid ref,NO326118,Long,-3.090548,Lat,56.293831,,,,,,,
Station no,5492,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.86,1.48,0.53,1.50,1.57,2.25,4.05,2.20,0.85,3.05,,
February,2.92,0.53,0.65,2.65,2.35,1.29,3.25,2.75,0.52,2.55,,
March,3.05,2.08,0.23,2.91,1.93,1.31,1.65,2.07,1.75,1.95,,
April,1.94,1.30,2.07,1.35,0.64,0.85,0.65,1.82,3.00,2.00,,
May,2.15,2.24,2.01,6.58,2.11,0.50,1.45,2.48,1.60,,,
June,1.92,2.33,1.07,2.31,0.92,3.25,1.17,2.97,3.07,,,
July,4.79,1.62,2.85,2.14,1.21,4.58,5.62,5.10,4.30,,,
August,3.82,2.77,1.39,3.26,0.46,5.62,3.87,3.10,0.70,,,
September,2.06,1.33,2.53,2.76,1.35,3.77,1.47,1.95,0.65,,,
October,0.24,3.10,1.69,6.08,1.55,1.60,2.08,1.90,1.57,,,
November,5.08,2.04,3.19,4.91,1.55,0.67,1.75,0.76,5.65,,,
December,2.52,2.13,3.03,2.97,4.00,2.80,3.35,5.23,5.85,,,
Total,34.35,22.95,21.24,39.42,19.64,28.49,30.36,32.33,29.51,,,
Calc annual,34.35,22.95,21.24,39.42,19.64,28.49,30.36,32.33,29.51,9.55,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,,
