CUPAR (RANKEILLOUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO326118,Long,-3.090548,Lat,56.293831,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.39,1.24,2.94,4.12,2.31,0.67,2.55,1.52,2.05,3.28,1.34,3.58,3.04,1.59,3.63,2.49,4.49,2.5,7.06,1.61,2.71,4.23,2.54,3.04,2.39,0.85,4.25,2.3,,4.71,1.62,2.46,2.89,3.9,1.68,3.07,2.04,4.35,5.38,1.7,1.31,3.86,1.48,0.53,1.5,1.57,2.25,4.05,2.2,0.85,3.05
February,2.68,1.91,1.83,0.5,2.14,4.06,3.23,0.99,2.67,2.08,2.16,0.35,1.77,4.78,0.95,3.84,4.3,1.23,1.86,1.53,1.33,1.68,0.07,1.93,0.05,1.82,4.27,3.83,,2.22,1.18,4.32,1.63,1.2,0.72,2.82,0.69,2.67,2.31,1.87,2.18,2.92,0.53,0.65,2.65,2.35,1.29,3.25,2.75,0.52,2.55
March,1.64,1.3,2.78,4.26,3.72,0.9,3.25,1.66,0.88,2.23,2.22,2.58,2.14,0.95,0.64,1.47,0.86,2.63,4.5,0.45,2.13,1.01,2.39,1.3,3.21,1.57,2.81,2.62,,2.45,3.02,2.24,1.57,0.71,0.27,1.2,2.14,4.09,1.12,1.19,2.3,3.05,2.08,0.23,2.91,1.93,1.31,1.65,2.07,1.75,1.95
April,2.9,0.71,0.04,1.71,0.45,0.87,2.22,0.91,0.42,2.56,1.69,1.32,1.37,2.08,1.31,3.83,1.91,1.18,0.57,1.04,1.82,2,2.96,1.08,3.96,2.86,0.86,1.64,,0.98,1.7,1.77,1.74,1.31,2.32,1.14,0.45,3.56,1.37,1.15,1.71,1.94,1.3,2.07,1.35,0.64,0.85,0.65,1.82,3,2
May,1.57,1.31,1.05,2.94,1.77,1.18,3.4,2.03,3.85,0.8,2.05,1.5,0.65,1.46,4.24,3.85,1.52,2.28,1.77,2.97,1.95,3.29,3.42,1.59,2.27,0.78,0.75,2.41,3.62,1.72,1.97,2.88,3.42,3.73,1.91,4.23,1.79,4.05,3.37,1.86,1.68,2.15,2.24,2.01,6.58,2.11,0.5,1.45,2.48,1.6,
June,0.93,1.16,4.04,1.91,0.74,1.3,3.11,1.46,0.57,2.02,0.76,0.22,2.04,0.99,2.06,0.59,3.27,1.8,4.86,1.81,2.13,4.59,1.4,1.68,1.71,3.37,1.37,,2.82,1.64,0.64,0.7,1,1.72,2.02,2.32,2.89,3.18,3.85,1.35,1.96,1.92,2.33,1.07,2.31,0.92,3.25,1.17,2.97,3.07,
July,3.11,2.04,3.4,0.8,1.42,2.86,5.45,1.6,3.62,0.61,1.21,2.15,3.01,1.79,4.74,1.62,2.49,2.73,0.91,2.99,2.35,5.24,3.37,2.89,3.34,0.94,4.25,,3.69,4.09,4.79,2.19,3,2.37,2.96,3.27,5.63,1.72,1.99,2.09,3.96,4.79,1.62,2.85,2.14,1.21,4.58,5.62,5.1,4.3,
August,7.91,0.99,5.02,1.07,1.44,4.14,2.09,4.46,1.71,2.2,4.05,3.33,1.34,2.95,2.04,2.57,2,4.89,6.56,4.48,8.03,2.32,0.5,0.98,4.33,2.84,1.33,,1.5,1.39,1.11,3.03,2.15,4.1,2.36,4.5,3.43,0.1,6.72,3.29,2.67,3.82,2.77,1.39,3.26,0.46,5.62,3.87,3.1,0.7,
September,1.32,0.83,,1.44,0.97,1.71,1.02,1.05,3.48,1.2,1.64,0.86,2.21,2.81,3.74,3.66,4.15,5.01,2.65,0.43,4.24,1.46,1.74,2.23,2.93,3.48,3.21,,2.76,1.89,2.1,1.07,2.5,2.67,2.81,2.98,3.27,2.37,2.78,1.66,5.11,2.06,1.33,2.53,2.76,1.35,3.77,1.47,1.95,0.65,
October,2.12,2.09,,2.48,2.12,4.22,4.4,1.69,3.13,1.89,2.18,2.74,1.98,1.77,2.5,2.49,4.86,4.36,4.38,3.02,2.9,1.24,6.58,3.16,3.32,4.49,1.73,,3.98,4.11,3.69,3.15,1.95,2.65,4.06,3.92,0.3,1.26,3.29,3.97,1.7,0.24,3.1,1.69,6.08,1.55,1.6,2.08,1.9,1.57,
