KIRTON HOUSE,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF303381,Long,-0.063,Lat,52.925,Elevation,12,ft,,,,,,,,,,,,,,,
Station no,2536/4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.33,3.33,1.66,2.29,2.07,3.52,2.12,2.51,0.87,2.12,3.45,1.21,1.00,2.55,1.65,0.86,1.09,2.40,5.77,1.34,2.17,2.82,3.53
February,1.00,0.55,2.13,2.91,1.44,0.39,1.72,1.41,2.03,1.97,0.73,0.63,3.22,3.12,0.42,1.69,2.28,3.50,1.20,3.49,3.71,0.15,2.92
March,0.21,1.74,1.44,3.14,1.56,0.47,0.21,0.60,1.03,4.78,0.40,0.91,0.57,3.32,2.59,0.87,1.72,2.03,0.63,1.57,1.51,2.35,1.34
April,0.09,1.67,1.17,0.58,0.61,1.04,1.78,1.44,1.08,1.53,1.23,1.66,1.96,2.30,1.29,2.10,0.21,1.48,1.35,0.19,0.87,1.39,0.49
May,2.24,0.74,1.18,2.36,2.80,2.33,1.18,0.93,1.17,0.34,3.22,1.96,3.70,3.44,2.77,2.81,2.37,2.47,0.85,1.71,2.64,0.46,0.64
June,0.79,1.91,0.75,0.43,1.57,1.58,2.44,1.93,1.82,2.79,3.40,0.59,1.31,0.89,1.26,3.38,2.47,2.99,2.13,2.22,3.48,0.58,0.54
July,2.17,2.32,5.22,4.91,2.46,1.15,1.32,2.02,1.90,1.55,1.34,2.02,2.74,1.31,0.29,1.32,1.93,0.32,2.74,2.71,4.00,1.75,4.44
August,1.40,1.38,0.45,4.26,2.11,2.04,3.22,5.69,3.74,0.03,3.41,1.88,1.77,3.49,2.19,2.82,3.29,0.64,5.15,1.49,1.61,0.96,3.43
September,2.37,1.14,0.70,0.89,1.29,1.86,4.29,1.29,2.69,1.33,1.81,1.46,3.29,1.70,2.37,1.26,2.66,1.25,1.27,4.14,1.95,0.57,3.27
October,2.02,3.23,2.50,3.31,2.46,0.82,2.16,2.61,2.86,0.20,1.68,4.15,0.86,0.93,1.99,2.43,2.57,1.63,0.88,1.21,2.11,1.19,4.74
November,1.59,3.40,4.16,3.11,2.84,1.60,2.83,0.94,4.39,1.32,1.65,2.62,3.75,3.46,2.84,1.58,3.97,1.15,0.70,2.10,1.12,1.55,3.80
December,4.47,1.92,1.61,0.43,1.59,0.71,0.96,2.36,2.10,1.92,2.12,1.35,1.42,1.10,1.95,0.82,2.19,1.59,1.37,1.99,2.47,3.34,3.92
Total,20.68,23.33,22.97,28.62,22.80,17.51,24.23,23.73,25.68,19.88,24.44,20.44,25.59,27.61,21.61,21.94,26.75,21.45,24.04,24.16,27.64,17.11,33.06
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/101,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/182,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/184,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1978 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,
