"KIRTON",,,,,,,,,,,,
Grid ref,TF302380,Long,-0.064731,Lat,52.923637,,,,,,,
Station no,2536/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.55,1.65,0.86,1.09,2.40,5.77,1.34,2.17,2.82,3.53,,
February,3.12,0.42,1.69,2.28,3.50,1.20,3.49,3.71,0.15,2.92,,
March,3.32,2.59,0.87,1.72,2.03,0.63,1.57,1.51,2.35,1.34,,
April,2.30,1.29,2.10,0.21,1.48,1.35,0.19,0.87,1.39,0.49,,
May,3.44,2.77,2.81,2.37,2.47,0.85,1.71,2.64,0.46,0.64,,
June,0.89,1.26,3.38,2.47,2.99,2.13,2.22,3.48,0.58,0.54,,
July,1.31,0.29,1.32,1.93,0.32,2.74,2.71,4.00,1.75,4.44,,
August,3.49,2.19,2.82,3.29,0.64,5.15,1.49,1.61,0.96,3.43,,
September,1.70,2.37,1.26,2.66,1.25,1.27,4.14,1.95,0.57,3.27,,
October,0.93,1.99,2.43,2.57,1.63,0.88,1.21,2.11,1.19,4.74,,
November,3.46,2.84,1.58,3.97,1.15,0.70,2.10,1.12,1.55,3.80,,
December,1.10,1.95,0.82,2.19,1.59,1.37,1.99,2.47,3.34,3.92,,
Total,27.61,21.61,21.94,26.75,21.45,24.04,24.16,27.64,17.11,33.06,,
Calc annual,27.61,21.61,21.94,26.75,21.45,24.04,24.16,27.64,17.11,33.06,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
