NETHER-RED-CLOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK084903,Long,-1.8751033,Lat,53.409448,Elevation,1370,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2693/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.1,5.2,6.5,7.69,6.97,8.9,,4.98,,7.65,11.3,7.09,7.71,4.26,14.64,4.09,4.62,7.38,6.36,3.69,5.76,3.5,8.63,3.72,5.86,5.14,9.21
February,,,,0.33,9.1,4.29,9.7,2.84,5.4,,8.76,,5.35,4.01,7.39,9.44,2.5,4.22,2.96,8.08,6.13,4.78,3.62,3.41,2.63,2.76,5.17,8.96,0.83,4.57
March,,,,6,,,7.44,3.64,4.41,4.34,6.44,3.76,2.06,2.04,2.12,2.42,8.72,1.95,3.21,2.89,8.57,3.22,4.18,3.83,5.04,2.46,5.17,3.36,2.87,2.34
April,,,,2.8,4.67,2.32,5.71,0.89,4.1,4.07,3.32,2.76,3.15,3.54,3.11,2.11,4.41,2.56,5.72,5.38,3.09,4.83,3.96,1.18,2.34,2.19,0.83,1.74,3.94,3.41
May,,,,4.07,0.84,1.37,3.33,,3.25,1.31,3.68,5.32,4.08,7.25,4.39,2.08,4.21,1.78,3.24,1.79,2.87,3.46,2.77,4.68,5.42,1.93,1.76,5.44,0.78,2.71
June,,,,3.25,4.7,3.87,3.11,6.72,3.56,1.14,3.98,1.32,5.2,4.67,5.42,5.82,3.05,6.57,1.62,3.45,1.97,3.37,3.78,4.38,4.93,5.06,1.95,6.43,2.04,1.68
July,,,,5.5,3.5,8.77,5.28,,9.06,7.4,3.6,8.95,3.13,4.77,2.45,7.14,3.23,2.97,2.93,4.27,4.42,4.34,7.57,9.73,0.87,9.18,7.46,6.58,5.52,9.84
August,,,,5.15,2.21,3.64,1.59,3.39,2.77,3.02,9.55,4.82,8.26,4.57,4.05,5.73,0.35,6.32,4.12,5.23,7.28,3.14,5.56,9.18,0.72,14.34,9.26,4.56,0.69,7.12
September,,,,3.4,7.6,8.58,2.02,3.62,2.57,,0.94,4.87,6.55,8.11,3.92,7.58,2.43,3.68,2.34,8.37,3.28,6.75,3.89,6.09,3.69,5.11,11.34,8.72,0.24,5.97
October,,,,10.5,12.8,7.97,3.18,10.86,4.25,5.4,8.44,10.96,3.91,7.04,8.34,1.49,1.35,3.54,4.93,2.91,1.42,6.63,2.58,9.73,3.78,4.09,6.28,4.96,4.77,7.37
November,,,,3.85,7.82,8.79,2.87,7.24,9.02,10.04,4.54,1.98,6.13,9.47,0.96,9.38,7.39,3.45,8.14,8.86,12.17,4.35,4.32,8.83,3.19,2.58,2.83,2.66,7.05,8.35
December,,,,7.73,7.19,8.13,4.65,7.45,5.02,7.35,5.07,4.9,3.13,5.48,4.18,6.05,6.37,4.23,10.34,3.27,7.52,6.22,3.11,10.43,6.83,8.17,7.76,5.96,8.28,6.62
Total,,,,57.68,,,56.57,,62.31,,63.3,,58.6,72.25,53.42,66.95,48.27,55.91,53.64,59.12,66.1,57.45,49.03,77.23,42.94,66.5,63.53,65.23,42.15,69.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3250 NETHER RED CLOUGH Start 1934 end 1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Nether Red Clough. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the 1949 readings appear to have been revised by a set glued over the original readings but this has been disodged but is still visible. The original readings are from MILL-BROOK and it looks as if the readings were orginally mixed up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
