ATTENBOROUGH,,,,,,,,,,,,,,,,,,,,
Grid ref,SK519344,Long,-1.2298096,Lat,52.904538,Elevation,89,ft,,,,,,,,,,,,
Station no,2601,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.13,1.14,1.92,2.08,1.01,3.25,3.53,2.38,5.13,2.85,2.78,1.69,,,,,,,,
February,2.49,0.36,2.38,0.53,2.18,1.82,3.41,0.55,0.96,2.55,2.03,,,,,,,,,
March,0.28,1.35,2.68,1.68,0.59,1.3,2.2,0.18,1.65,,2.65,,,,,,,,,
April,3.32,2.41,1.36,2.22,2.81,1.6,2.05,0.08,1.68,1.66,1.18,,,,,,,,,
May,2.98,6.65,1.66,0.95,0.3,0.48,2.32,2.01,0.88,1.99,1.97,,,,,,,,,
June,4.14,0.98,1.9,0.39,3.76,2.64,0.63,1.2,,1.03,0.76,,,,,,,,,
July,5.18,3.89,1.98,1,0.29,4.4,3.6,2.85,,3.25,4.26,,,,,,,,,
August,4.14,1.61,0.75,1.88,1.92,0.69,0.6,2.47,,0.42,4.19,,,,,,,,,
September,2.56,1.64,1.59,1.97,4.45,3.93,1.11,,,0.58,0.36,,,,,,,,,
October,0.55,2.77,3.26,1.01,3.09,1.1,2.7,,,3.71,2.64,,,,,,,,,
November,2.56,1.67,1.02,2.05,3.95,2.02,1.59,2.19,,5.54,3.64,,,,,,,,,
December,0.9,0.62,0.3,3.82,3.01,1.09,2.38,3.76,,1.4,0.69,,,,,,,,,
Total,30.23,25.09,20.8,19.58,27.36,24.32,26.12,,,,27.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1938 Sep Oct estimated,,,,,,,,,,,,,,,,,,,,
1940 Mar estimated,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note that earlier records may be available from British Rainfall,,,,,,,,,,,,,,,,,,,,
