SOYLAND MOOR STANSFIELD HEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE024189,Long,-1.965153,Lat,53.666575,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.82,7.54,4.97,5.56,3.39,3.87,2.06,4.69,4.38,6.11,5.76,3.41,2.93,4.67,6.13,6.74,3.92,4.65,3.16,10.38,2.37,2.77,4.59,4.87,1.41,3.39,2.95,5.68,3.84,4.75,3.81,6.19
February,,,,,,,,,,0.42,1.07,6.59,0.43,4.68,0.38,6.91,2.96,6.61,2.12,5.33,2.49,5.61,1.58,3.79,2.02,4.97,6.1,3.47,3.31,3.13,5.91,3.86,1.2,2.68,3.2,2.84,1.37,3.3,6.89,0.34,2.71
March,,,,,,,,,,1.1,3.61,0.48,3.11,3.36,3.61,1.7,2.91,3,1.33,3.22,3.19,5.18,3.21,1.49,0.67,1.18,1.72,7,1.88,1.38,2.28,5.88,2.58,2.36,3.02,2.57,1.85,3.15,2.5,2.01,1.98
April,,,,,,,,,,1.54,3.68,4.29,5.04,1.64,2.8,4.08,2.02,2.8,0.72,2.41,3.09,2.88,2.51,2.7,3.21,2.83,1.49,4.34,2.71,3.91,4.2,2.55,3.36,3.85,0.61,1.65,3.44,0.55,1.22,4.51,2.86
May,,,,,,,,,,3.58,2.12,3.6,5.02,2.28,3.07,0.94,1.04,2.5,4.28,1.24,1.5,2.34,4.13,3.2,3.48,4.06,1.86,4.64,1.15,3.8,2.54,3.78,1.71,3,3.33,3.7,1.4,1.71,5.03,2.55,2.34
June,,,,,,,,,,1.51,2.45,6.56,0.68,2.94,2.07,4.05,4.87,2.24,5.32,2.56,0.86,0.67,1.51,3.11,2.93,4.37,3.4,2.84,4.71,0.84,1.49,1.14,2.93,2.77,2.77,2.88,3.07,2.17,6.28,2.18,1.79
July,,,,,,,,,,1.86,6.34,3.94,3.48,3.46,3.04,1.61,3.74,2.4,4.8,6.83,3.09,1.4,3.92,2.21,3.89,2.38,4.76,2.32,2.46,2.81,3.35,2.92,2.3,4.37,4.17,0.92,7.35,4.66,5.16,2.98,5.89
August,,,,,,,,,,4.28,6.8,5.93,1.92,1.39,3.27,1.67,1.92,2.36,4.62,2.18,1.9,6.69,5.07,4.97,3.37,4.05,4.97,0.38,4.4,2.65,4.9,5.24,4.08,3.99,6.74,1.15,9.9,5.62,4.14,0.55,5.45
September,,,,,,,,,0.61,1.72,5.27,3.75,4.44,1.79,2.48,7.49,5.78,2.09,1.76,1.55,4.27,0.63,2.66,4.32,5.61,2.19,6.96,3,2.25,0.87,6.01,2.22,3.28,3.55,5.28,2.23,4.21,5.01,4.91,0.47,3.03
October,,,,,,,,,4.87,5.57,6.24,2.61,7.8,5.2,4.43,9.87,5.17,2.46,9.64,3.18,4.99,4.87,5.9,2.85,4.43,5.74,1.35,1.16,2.3,4.84,2.49,1.5,5.34,2.45,8.06,2.25,2.64,5.77,4.19,3.86,5.95
November,,,,,,,,,7.48,8.49,5.97,7.47,3.4,1.98,2.4,6.87,6.75,2.59,6.36,7.31,7.56,3.45,1.44,3.61,7.73,0.59,7.58,7.38,1.52,6.16,5.21,10.02,2.19,4.67,6.81,2.36,1.7,3.08,1.29,4.81,7.73
December,,,,,,,,,3.05,8.89,3.48,2.32,2.2,0.68,5.36,3.2,4.95,2.58,4.77,3.34,4.35,2.34,3.69,2.49,4.68,2.52,3.47,4.65,4.29,7.13,2.77,7.82,4.03,1.61,6.91,6.18,4.48,5.73,4.92,7.29,4.41
Total,,,,,,,,,,40.78,54.57,52.51,43.08,32.79,36.78,50.45,46.8,36.01,51.83,44.91,40.7,38.99,40.29,40.87,48.76,38.8,48.31,44.34,41.36,39.89,43.92,51.52,37.87,36.71,54.29,31.68,47.09,44.59,51.28,35.36,50.33
