"SOYLAND MOOR (STANSFIELD HEY)",,,,,,,,,,,,
Grid ref,SE024189,Long,-1.965153,Lat,53.666575,,,,,,,
Station no,3219,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.59,4.87,1.41,3.39,2.95,5.68,3.84,4.75,3.81,6.19,,
February,3.86,1.20,2.68,3.20,2.84,1.37,3.30,6.89,0.34,2.71,,
March,5.88,2.58,2.36,3.02,2.57,1.85,3.15,2.50,2.01,1.98,,
April,2.55,3.36,3.85,0.61,1.65,3.44,0.55,1.22,4.51,2.86,,
May,3.78,1.71,3.00,3.33,3.70,1.40,1.71,5.03,2.55,2.34,,
June,1.14,2.93,2.77,2.77,2.88,3.07,2.17,6.28,2.18,1.79,,
July,2.92,2.30,4.37,4.17,0.92,7.35,4.66,5.16,2.98,5.89,,
August,5.24,4.08,3.99,6.74,1.15,9.90,5.62,4.14,0.55,5.45,,
September,2.22,3.28,3.55,5.28,2.23,4.21,5.01,4.91,0.47,3.03,,
October,1.50,5.34,2.45,8.06,2.25,2.64,5.77,4.19,3.86,5.95,,
November,10.02,2.19,4.67,6.81,2.36,1.70,3.08,1.29,4.81,7.73,,
December,7.82,4.03,1.61,6.91,6.18,4.48,5.73,4.92,7.29,4.41,,
Total,51.52,37.87,36.71,54.29,31.68,47.09,44.59,51.28,35.36,50.33,,
Calc annual,51.52,37.87,36.71,54.29,31.68,47.09,44.59,51.28,35.36,50.33,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
