FORDINGBRIDGE-CUCKOO-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU167107,Long,-1.76314,Lat,50.89587,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,7.38,0.8,1.47,1.07,3.81,1.25,4.67,5.53,0.68,4.06,1.5,1.09,4.58,5.78,4.13,4.06,5.32,1.58,3.94,4.64,5.23,2.73,6.17,1.54,5.11,2.26,2.75,3.14,2.94,0.67,5.63,6.21,3.55,,
February,,,,,,,3.3,1.41,1.52,0.42,4.13,2.08,3.02,1.41,5.07,6.22,5.34,1.29,1.66,3.38,0.73,0.35,3.1,6.77,0.38,5.51,2.04,4.03,2.59,1.19,0.88,2.37,0.11,5.35,0.16,4.49,3.12,6.73,0.99,,
March,,,,,,,2.17,0.57,3.7,4.24,0.93,2.25,4.96,3.06,5.02,1,3.05,3.2,1.22,6.05,2.42,1.46,2.76,2.49,1.71,0.82,0.73,4.51,2.9,0.22,1.54,1,1.99,3.68,3.81,1.26,3.54,3.73,0.29,,
April,,,,,,,1.07,4.13,2.54,1.41,2.37,1.67,0.12,3.79,1.17,1.43,1.17,1.75,2.27,1.94,3.28,1.4,3.59,3.96,3.9,2.86,3.36,2.34,2.11,1.22,3.06,2.69,3.42,1.64,2.58,4.04,2.04,2.57,0.02,,
May,,,,,,,2.12,2.1,2.34,1.87,1.81,1.35,1.63,2.57,1.49,3.33,1.9,1.52,1.81,0.91,1.47,1.53,0.64,1.9,4.4,4.64,1.96,0.98,1.63,2.51,2.96,2.77,4.59,2.45,0.92,1.53,1.24,3.37,1.86,,
June,,,,,,,1.29,1.61,0.56,2.61,3.63,2.51,4.99,0.63,0.69,0.67,2.09,3.31,1.32,1.18,2.64,0.44,1.28,0.6,2.37,0.02,3.06,2.76,2.41,1.52,1.02,3.52,2.36,1.83,1.04,4.45,2.69,0.97,0.59,,
July,,,,,,,1.61,1.19,1.99,3.36,2.14,0.32,1.77,1.62,3.53,4.84,1.51,3.84,4.49,1.29,5.73,0.56,4.6,0.81,4.41,2.84,1.2,3.08,1.74,1.41,1.94,4.29,3.37,2.08,0.98,0.47,4.62,1.68,2.92,,
August,,,,,,,1.06,2.05,5.2,2.71,2.36,1.32,6.49,2.16,3.38,2.05,5.88,5.16,3.7,3.66,1.31,1.71,5.04,2.82,3.42,3.53,1.52,3.76,2.84,2.14,3.38,4.67,1.11,1.4,4.46,4.04,0.32,1.24,1.89,,
September,,,,,,,0.87,0.63,1.78,3.79,0.22,1.16,2.82,2.91,1.3,2.07,3.49,1.89,5.82,2.14,1.61,0.94,1.81,2.3,4.52,3.96,0.86,5.92,2.23,0.42,3.79,1.94,4.03,2.53,2.23,3.82,4.63,2.95,1.79,,
October,,,,,,,6.83,9.06,1.78,8.64,4.7,3.15,3.95,4.42,2.64,4.59,6.01,4.96,2.16,0.8,2.85,1.27,1.37,5.91,4.86,4.12,3.06,2.77,8.21,5.19,2.42,0.8,5.6,2.04,1.75,6.9,2.03,3.89,3.58,,
November,,,,,,,4.76,3.14,1.19,0.61,3.93,4.28,1.99,3.41,5.23,3.3,5.34,1.01,3.16,2.4,2.44,2.46,2.13,2.16,3.59,3.24,10.91,3.97,3.12,9.71,6.09,5.36,2.43,1.16,2.45,7.14,3.73,1.73,6.58,,
December,,,,,,,2.09,4.92,3.97,4.39,6.19,9.77,5.05,2.05,9.82,9.01,4.29,1.54,2.91,6.78,3.63,1.9,4.59,3.76,6.48,3.42,0.5,4.11,2.56,8.44,4.23,0.89,1.73,1.14,10.37,5.41,3.05,4.78,4.88,,
Total,,,,,,,34.55,31.61,28.04,35.12,36.22,31.11,41.46,33.56,40.02,42.57,41.57,30.56,35.1,36.31,32.24,18.08,36.23,35.06,43.98,39.6,34.43,40.96,38.51,35.51,36.42,32.56,33.49,28.44,33.69,44.22,36.64,39.85,28.94,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observations at 8am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
