HAYFIELD-HOLLIN-HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK064883,Long,-1.9052293,Lat,53.391499,Elevation,950,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/9/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.07,6.18,5.7,8.55,,,4.46,5.77,8.38,5.42,6.37,4.23,12.1,4.28,3.87,5.01,5.4,2.77,5.4,4.79,8.42,2.97,5.13,4.65,6.54
February,,,,,,4.33,8.01,1.96,3.95,,,2.88,4.24,,4.91,8.25,2.26,3.38,2.75,7.1,5.38,2.52,3.53,4.33,3.56,2.84,4.26,8.36,0.63,3.59
March,,,,,,3.2,4.61,2.54,3.26,3.57,5.68,2.98,1.77,1.42,1.88,2.15,6.89,1.56,2.84,2.24,6.43,2.81,3.08,3.46,4.2,2.14,3.54,2.61,2.43,1.77
April,,,,,3.98,2.02,5.13,0.73,3.94,3.95,3.9,2.19,2.81,3.18,2.92,2.15,4.26,,5.08,4.66,2.85,4.36,3.76,1.02,2.21,2.51,0.7,1.26,3.59,2.4
May,,,,,0.76,1.54,2.95,4.69,2.81,1.03,3.28,4.33,3.51,6.46,4.16,2.01,4.11,1.79,2.89,1.54,2.61,3.47,2.83,4.52,5.66,1.81,1.67,4.7,1.01,2.24
June,,,,,3.9,4.03,2.21,4.68,2.98,1.17,2.68,1.55,4.42,4.21,4.3,4.36,2.82,6.93,1.5,3.15,1.97,3.26,4.03,3.91,3.41,3.52,1.87,6.11,2.58,1.62
July,,,,,2.41,6.38,4.79,6.26,7.73,5.28,4.29,6.62,2.31,4.5,2.19,5.89,3.99,2.96,1.94,3.72,3.66,4.23,6.33,8.76,0.93,7.2,6.79,6.15,4.51,7.66
August,,,,,1.88,2.88,1.21,3.08,2.21,2.93,7.51,4.5,6.6,3.86,3.52,5.75,0.6,6,4.42,4.54,6.62,2.44,4.74,7.38,0.65,10.82,8.24,4.23,0.57,7.08
September,,,,,6.39,7.37,1.49,3.45,1.54,4.82,0.89,3.67,6.14,6.23,3.03,6.02,2.27,3.04,1.87,6.93,2.51,5.68,2.9,5.16,2.83,4.62,9.33,5.84,0.25,5.02
October,,,,,9.19,5.97,2.83,7.48,4.53,4.56,6.15,8.82,3.28,5.34,7.4,1.34,1.2,3.46,4.32,2.5,1.29,6.14,2.49,7.69,3.22,3.3,4.37,5.02,3.76,5.51
November,,,,,6.69,6.09,2.43,5.61,7.73,10.42,3.62,1.96,4.99,7.93,0.94,7.72,6.22,3.25,6.42,6.82,10.28,3.83,3.26,7.65,2.68,2.34,3.38,2.34,6.03,6.24
December,,,,,5.34,5.42,4.6,6.3,2.85,6.2,3.72,4.58,2.44,4.01,3.5,5.89,6.71,3.87,7.02,4.45,6.8,4.56,2.32,8.05,6,7.84,6.77,4.96,7.05,4.98
Total,,,,,,53.3,46.44,52.48,52.08,,,48.54,48.28,,44.17,57.9,45.56,,45.33,51.52,55.41,48.7,42.04,67.33,40.14,57.36,53.89,56.71,37.06,54.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11876 HOLLIN HEAD Start 1935 end 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Hollin Head. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
