IPSWICH-ROUNDWOOD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM183453,Long,1.1832397,Lat,52.063039,Elevation,145,ft,,,,,,,,,,,,,
Station no,1342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.35,1.87,1.78,1.81,0.91,0.91,,,,,,,
February,,,,,,,,,1.02,0.43,0.67,2.7,0.54,1.32,,,,,,,
March,,,,,,,,,2.31,0.03,1.43,0.36,1.17,,,,,,,,
April,,,,,,,,,1.41,1.74,1.41,3.02,2.43,,,,,,,,
May,,,,,,,,,1.8,1.24,2.02,2.67,3.1,,,,,,,,
June,,,,,,,,,2.36,0.69,1.19,1.22,0.58,,,,,,,,
July,,,,,,,,,2.3,2.85,4.81,3.22,2.43,,,,,,,,
August,,,,,,,,,2.22,1.28,2.22,2.78,0.88,,,,,,,,
September,,,,,,,,3.25,0.8,0.69,4.59,1.65,1.3,,,,,,,,
October,,,,,,,,2.13,1.72,2.76,0.77,0.69,4.88,,,,,,,,
November,,,,,,,,2.63,1.86,4.22,3.51,1.76,1.24,,,,,,,,
December,,,,,,,,2.46,4.02,4.18,2.19,0.89,0.37,,,,,,,,
Total,,,,,,,,,25.17,21.98,26.59,22.77,19.83,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1933 Mar Gauge moved,,,,,,,,,,,,,,,,,,,,,
