HUNSTANWORTH (NOOKTON BURN),,,,,,,,,,
Grid ref,NY909465,Long,-2.143121,Lat,54.813274,Elevation,1360,ft,,
Station no,3553/8/3/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.9,4.15,4.4,4.5,4.2,3.85,3.5,6.3
February,,,2.1,3.45,4,5,3.9,5,0.6,3
March,,,0.55,2.15,2.5,2.45,2.5,2.85,1.4,2.75
April,,,4,0.95,0.5,1.2,0.45,2.05,3.7,1.85
May,,,2.6,6.1,3.45,1.25,1.75,4.3,0.85,1.75
June,,,3.75,2.55,2.95,3.35,1.2,4.55,1.15,0.9
July,,,2.8,2.2,1.35,3.9,5.9,4.55,1.85,5.65
August,,4.5,4.6,9.25,1.65,10.2,7.05,3.3,0.6,3.95
September,,5.8,4.55,4.55,1.6,4.1,3.9,3.45,1.2,3.25
October,,6.2,2.85,7.35,2.5,2.5,3.35,2.7,3.35,11.7
November,,4,3.35,7.85,2.05,1.75,3.05,0.7,6.55,5.8
December,,4.5,2,5.6,5.95,5.5,4.3,6,7.5,4.1
Total,,,34.05,56.15,32.9,45.7,41.55,43.3,32.25,51
,,,,,,,,,,
1952 removed -999 Jan May-Jun total as transcribed from -100s,,,,,,,,,,
,,,,,,,,,,
1824,NOOKTON BURN ,NY9099746492,01/01/1952,31/12/1967,,,,,,
