"CONGLETON (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SJ853635,Long,-2.221348,Lat,53.168410,,,,,,,
Station no,2768,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.03,3.63,1.22,2.22,2.55,4.34,1.49,2.57,2.47,4.55,,
February,3.07,1.36,1.64,2.75,1.98,0.84,2.02,4.08,0.41,1.98,,
March,4.97,1.96,1.38,2.33,2.64,1.54,2.82,1.27,1.44,0.84,,
April,2.84,3.55,2.48,0.50,1.63,1.28,0.48,0.97,2.51,1.37,,
May,2.59,2.31,1.92,2.36,2.72,1.07,1.25,2.97,0.96,1.69,,
June,1.83,2.68,2.23,3.97,2.86,2.81,1.95,5.11,1.34,2.81,,
July,3.19,1.75,4.15,4.47,1.83,4.30,5.86,4.00,1.89,3.37,,
August,4.65,1.31,3.52,4.50,1.02,7.40,4.28,4.98,0.72,3.43,,
September,2.38,2.60,2.57,3.44,2.40,2.03,5.88,4.42,0.12,3.65,,
October,0.90,2.60,2.10,5.39,2.04,2.52,2.58,2.98,2.06,4.08,,
November,7.11,1.87,2.21,5.21,1.64,1.35,1.41,1.60,3.64,4.56,,
December,4.33,3.16,1.20,4.17,3.03,3.29,2.81,2.96,4.73,3.50,,
Total,39.89,28.78,26.62,41.31,26.34,32.77,32.83,37.91,22.29,35.83,,
Calc annual,39.89,28.78,26.62,41.31,26.34,32.77,32.83,37.91,22.29,35.83,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
