"ST NEOTS (THE SQUARE) MOVED TO KINGS RD",,,,,,,,,,,,
Grid ref,TL189605,Long,-0.260513,Lat,52.229872,,,,,,,
Station no,1151,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.61,1.75,0.93,0.81,1.77,3.78,1.04,2.45,2.94,2.15,,
February,2.49,0.75,1.47,1.75,1.77,0.71,1.94,2.58,0.09,1.62,,
March,2.70,2.52,0.34,2.14,1.46,0.53,1.71,1.49,1.96,1.82,,
April,3.02,1.31,1.54,0.30,0.53,1.05,0.37,0.85,1.51,0.34,,
May,2.00,2.50,1.60,2.74,2.91,0.56,1.33,1.72,0.46,0.97,,
June,1.00,1.15,2.40,2.40,1.88,2.66,1.62,4.99,0.86,1.78,,
July,1.00,0.43,1.98,2.08,0.26,3.41,1.73,1.81,3.71,3.60,,
August,3.57,3.13,2.52,4.91,1.23,3.42,1.74,2.10,0.61,3.09,,
September,1.96,2.26,0.72,1.65,1.86,1.61,3.40,2.21,0.03,3.51,,
October,0.69,2.05,2.28,2.02,1.60,1.23,1.33,2.05,1.48,4.15,,
November,2.82,2.30,1.27,3.58,1.07,0.74,1.35,1.51,1.39,3.31,,
December,1.13,1.83,0.50,2.03,1.52,1.88,1.95,2.04,3.13,2.92,,
Total,24.99,21.98,17.55,26.41,17.86,21.58,19.51,25.80,18.17,29.26,,
Calc annual,24.99,21.98,17.55,26.41,17.86,21.58,19.51,25.80,18.17,29.26,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
