SOUTHPORT PARK CRESCENT,,,,,,,,,,,,
Grid ref,SD350181,Long,-2.984971,Lat,53.655337,,,,,,,
Station no,RR8182,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.57,1.70,2.41,,,,,,,,,
February,3.21,1.66,1.73,,,,,,,,,
March,1.02,2.78,2.09,,,,,,,,,
April,1.64,1.89,1.68,,,,,,,,,
May,1.93,1.07,3.07,,,,,,,,,
June,1.88,1.79,1.64,,,,,,,,,
July,0.78,1.90,2.46,,,,,,,,,
August,6.70,3.00,2.14,,,,,,,,,
September,1.88,0.82,1.05,,,,,,,,,
October,4.70,3.05,3.20,,,,,,,,,
November,3.30,4.60,2.13,,,,,,,,,
December,3.68,4.19,2.98,,,,,,,,,
Total,35.29,28.45,26.58,,,,,,,,,
Calc annual,35.29,28.45,26.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
