"SULBY (FILTER HOUSE)",,,,,,,,,,,,
Grid ref,SC380933,Long,-4.491600,Lat,54.309523,,,,,,,
Station no,4419/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.89,4.96,1.82,3.90,4.06,4.36,4.04,8.11,3.48,,,
February,5.42,0.67,1.43,6.47,4.09,0.63,6.27,5.98,1.05,,,
March,5.19,2.85,0.37,5.47,3.95,1.94,2.80,2.48,4.33,,,
April,1.58,1.87,2.67,0.47,2.25,0.85,1.00,0.99,3.34,,,
May,3.80,3.35,3.64,3.69,2.94,1.49,2.80,3.14,0.80,,,
June,0.28,2.22,3.12,2.38,3.88,3.18,1.19,4.45,2.02,,,
July,2.47,1.36,2.83,2.81,2.07,2.87,3.77,3.08,2.28,,,
August,5.79,5.30,3.85,3.35,1.68,8.87,3.58,4.29,0.88,,,
September,5.46,4.52,6.25,5.66,2.31,4.33,7.27,4.98,1.74,,,
October,0.64,5.63,6.23,8.08,4.27,2.98,4.72,3.41,5.38,,,
November,10.21,2.71,5.57,11.85,4.73,1.76,3.51,1.97,7.41,,,
December,7.44,4.23,2.87,5.72,6.76,7.54,6.92,7.01,10.88,,,
Total,55.17,39.67,40.65,59.85,42.99,40.80,47.87,49.89,43.59,,,
Calc annual,55.17,39.67,40.65,59.85,42.99,40.80,47.87,49.89,43.59,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
