HAILSHAM VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ591095,Long,0.260498,Lat,50.863173,Elevation,105,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR1119 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,,3.84,2.55,2.11,1.19,6.95,1.51,3.63,0.49,1.56,1.6,2.99,3.44,2.64,5.58,2.97,1.08,1.14,3.44,3.25,1.19,2.15,4.07,2.85,1.15,2.68,0.84,3.06,3.88,0.63,1.44,3.05,5.45,1.3,5.23,1.09,1.87,1.18,3.7,1.76,3.22,4.71,0.87,4.55,1.68,1.23,3.99,5.98,4.4,2.84,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,,1.33,1.7,1.23,2.83,2.28,2.13,4.01,3.28,2.86,2.11,4.3,1.81,4.26,0.38,0.72,1.68,2.62,1.2,0.05,2.04,3.81,2.51,0.22,0.33,3.18,1.38,3.25,5.17,2.23,1.53,1.5,3.56,0.74,3.06,1.55,1.4,0.42,4.38,1.92,2.75,1.28,4.53,5.37,5.2,0.95,1.19,2.92,0.5,0.77,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,,2.36,0.65,0.78,2.72,1.99,1.22,0.74,0.5,2.87,1.37,1.09,2.31,2.32,2.04,1.43,4.48,1.7,2.07,2.49,1.45,0.37,1.89,2.45,2.8,4.51,1.57,0.95,1.35,2.34,1.8,2.69,1.19,5.55,1.65,1.07,3.38,3.75,1.78,2.94,4.43,3.26,5.88,0.83,2.57,1.84,1.16,4.39,2.2,1.71,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,,0.77,1.94,1.1,2.25,2.11,3.32,3.26,1.69,0.78,3.95,1.53,1.71,1.41,2.01,1.6,1.28,2.06,2.81,0.59,1.46,0.06,2.41,2.24,0.77,1.87,1.22,2.85,1.56,2.25,0.85,1.98,1.08,1.64,1.62,3.76,2.12,2.13,2.04,1.89,0.12,4.2,1.41,1.77,1.56,1.55,3.31,2.96,2.78,1.38,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,,1.03,1.23,0.59,0.9,2.07,1.94,2.69,0.1,0.89,1.18,3.02,0.48,2.97,3.49,1.32,1.27,1.43,2.45,2.33,0.68,0.63,1.61,0.12,0.36,1.23,3.69,1.54,0.95,0.87,2.15,2.33,3.36,1.63,2.39,3.11,1.34,1.27,2.47,0.81,1.3,0.86,0.87,3.94,2.44,2.02,1.77,0.22,1.15,1.31,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,,2.55,1.61,2.89,2.15,1.25,1.65,3.7,2.51,2.52,2.08,1.15,2.44,0.72,0.96,0.94,2.71,0.24,2.61,1.46,2.7,0.73,1.64,0.66,3.86,2.15,1.16,0.65,1.99,0.97,2.6,2.44,0.98,3.52,1.35,2.3,1.37,1.86,1.89,2.21,3.55,1.12,1.39,0.93,2.93,3.54,0.99,0.48,1.22,0,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,,1.89,0.95,2.71,0.58,2.48,0.83,3.89,3.28,2,2.68,2.11,1.9,1.63,2.68,0.42,4.82,3.9,3.07,2.92,1.82,3.75,6.12,3.6,1.65,0.38,0.53,1.41,1.43,1.7,1.54,5.58,1.26,0.9,0.52,1.42,3.17,2.61,2.53,0.46,1.22,2.95,1.87,4.17,0.89,2.43,4.7,1.37,4.36,0.43,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,,2.79,2.22,2.13,3.27,2.69,4.42,4.61,0.41,4.69,3.46,1.16,1.9,0.82,1.53,2.88,1.74,2.65,3.95,7.53,3.7,1.32,2.38,2.27,1.88,3.94,1.92,0.71,2.37,1.59,4.48,4.04,2,3.37,1.44,1.62,3.82,3.6,2.56,1.28,6.45,2.15,0.99,1.39,1.45,6.52,1.55,3.72,1.78,1.72,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,,2.68,4.3,2.43,4.11,0.61,1.41,3.13,2.43,2.2,3.4,4.29,4.42,4.89,1.87,4.14,0.84,0.74,1.24,0.93,2.86,4.7,3.27,0.76,6.14,3.82,1.03,4.46,1.35,1.03,0.84,2.87,1.69,2.9,1.36,0.71,2.02,3.07,0.29,1.53,3.79,2.94,1.49,2.91,1.57,2.36,6.77,1.16,3.26,0.58,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,,3.52,3.75,4.47,1.57,4.77,4.5,0.88,6.37,2.64,9.89,2.72,1.35,4.84,4.27,1.64,3.11,8.21,1.61,6.22,6.16,4.75,4.35,3.87,5.75,0.3,3.35,2.56,3.35,3.22,2.62,7.01,2.08,2.65,4.97,6.49,2.04,6.52,4.36,6.05,5.05,6.62,2.61,4.05,6.47,4.6,3.08,0.82,1.69,0.89,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
