CHICHESTER-SELHURST-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SU927109,Long,-0.68340988,Lat,50.890157,Elevation,300,ft,,,,,,,,,,,,
Station no,RR7718,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.84,3.73,3.09,1.03,1.91,5.28,,,,,
February,,,,,,,,,,2.57,1.21,0,1.38,3.99,2.68,,,,,
March,,,,,,,,,,2.11,1.77,3.08,0.97,0.33,1.65,,,,,
April,,,,,,,,,,2.44,3.18,1.19,1.09,0.05,2.47,,,,,
May,,,,,,,,,,3.43,1.98,2.66,0.83,0.59,1.55,,,,,
June,,,,,,,,,,1.18,3.1,1.97,1.86,1.14,2.33,,,,,
July,,,,,,,,,,2.42,3.53,3.02,3.21,4.94,5.76,,,,,
August,,,,,,,,,,3.08,3.32,6.63,2.61,0.65,2.23,,,,,
September,,,,,,,,,,1.01,1.46,1.38,3.25,1.92,4,,,,,
October,,,,,,,,,,7.9,1.21,5.98,5.01,5.47,3.81,,,,,
November,,,,,,,,,,1,2.72,4.59,4.54,2.11,6.35,,,,,
December,,,,,,,,,,2.07,0.83,2.94,2.89,2.97,2.47,,,,,
Total,,,,,,,,,,30.05,28.04,36.53,28.67,26.07,40.58,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1896 Gauge moved to Charlton,,,,,,,,,,,,,,,,,,,,
